rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/std,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
301.0,253,311296,1230,640.4367,38,14675.887744140626,0.0,-5.675871288776397,-3.538316523190588e-05,3.159046173095703e-06,0.2,370,7348.35107421875,1.0000252723693848,1e-05,4.3476466e-06,,
301.0,253,319488,1262,671.3672,39,15816.832885742188,0.0,-5.675835514068604,-5.4839468793943526e-05,2.682209014892578e-06,0.2,380,7246.31005859375,1.00001859664917,1e-05,4.9061564e-06,,
301.0,253,327680,1294,700.46857,40,17097.141015625,0.0,-5.675829064846039,-4.168573359493166e-05,8.940696716308594e-07,0.2,390,6880.8251953125,1.0000231266021729,1e-05,3.963789e-06,,
301.0,253,335872,1326,720.59656,41,19143.552124023438,0.0,-5.675839972496033,-8.776004251558334e-05,1.7881393432617188e-06,0.2,400,8424.9072265625,1.000020980834961,1e-05,8.486895e-06,,
301.0,253,344064,1358,702.93994,42,19735.55712890625,0.0,-5.675830340385437,-6.383608852047473e-05,1.6093254089355469e-06,0.2,410,9146.5576171875,1.0000208616256714,1e-05,5.802838e-06,,
301.0,253,352256,1390,725.4065,43,16415.391479492188,0.0,-5.675830280780792,-7.55755027057603e-05,2.1457672119140625e-06,0.2,420,7605.82763671875,1.0000194311141968,1e-05,7.897572e-06,,
301.0,253,360448,1422,670.89276,44,15958.733325195313,0.0,-5.675814831256867,-7.707802287768573e-05,1.1920928955078125e-06,0.2,430,8424.291015625,1.0000128746032715,1e-05,9.234893e-06,,
301.0,253,368640,1454,634.64087,45,12499.427978515625,0.0,-5.675789320468903,-9.32912778807804e-05,1.3113021850585938e-06,0.2,440,7467.505859375,1.0000081062316895,1e-05,1.3231838e-05,,
301.0,253,376832,1487,630.1309,46,13763.675122070312,0.0,-5.6757876634597775,-0.00011211691016796977,1.8477439880371094e-06,0.2,450,6934.59814453125,1.0000128746032715,1e-05,1.4111865e-05,,
301.0,253,385024,1519,648.0574,47,22447.20478515625,0.0,-5.675803029537201,-4.211640334688127e-05,5.960464477539062e-07,0.2,460,10017.3037109375,1.0000132322311401,1e-05,4.896443e-06,,
301.0,253,393216,1551,749.9797,48,13652.458471679687,0.0,-5.675776243209839,-2.1064169413875788e-05,7.152557373046875e-07,0.2,470,6112.8125,0.9999980926513672,1e-05,2.1068045e-06,,
,,400000,,,,23628.4591796875,0.0,-5.675730001926422,-3.665567492134869e-05,8.940696716308594e-07,0.2,480,14192.29296875,0.9999949336051941,1e-05,3.2968528e-06,844.1578979492188,301.0
301.0,239,401408,1676,739.2609,49,,,,,,,,,,,,,
301.0,239,409600,1709,795.3468,50,20565.09443359375,0.0,-5.6757197141647335,-4.4657374382950364e-05,8.344650268554688e-07,0.2,490,10903.3798828125,0.9999891519546509,1e-05,4.7655412e-06,,
301.0,239,417792,1741,798.2113,51,23758.192041015624,0.0,-5.675684034824371,-5.7357372133992614e-05,1.0728836059570312e-06,0.2,500,11423.9609375,0.9999778270721436,1e-05,5.56295e-06,,
301.0,239,425984,1775,806.3378,52,17048.816015625,0.0,-5.675657510757446,-7.352065003942698e-05,1.1324882507324219e-06,0.2,510,8552.107421875,0.9999784231185913,1e-05,8.245785e-06,,
301.0,239,434176,1810,801.38086,53,23888.87861328125,0.0,-5.675649952888489,-6.320942047750577e-05,5.960464477539062e-07,0.2,520,14381.9541015625,0.9999704957008362,1e-05,7.1295217e-06,,
301.0,239,442368,1844,765.47516,54,19438.642236328124,0.0,-5.675629723072052,-0.00010809064551722258,1.0132789611816406e-06,0.2,530,8885.029296875,0.9999721646308899,1e-05,1.2050805e-05,,
301.0,240,450560,1877,796.3804,55,16780.374584960937,0.0,-5.675634253025055,-9.727537108119577e-05,1.1920928955078125e-07,0.2,540,8025.5966796875,0.9999699592590332,1e-05,1.328293e-05,,
301.0,240,458752,1911,806.15625,56,24623.82724609375,0.0,-5.6756117105484005,-6.690600712317973e-05,5.960464477539062e-07,0.2,550,11897.0712890625,0.99996018409729,1e-05,7.5581047e-06,,
301.0,240,466944,1944,806.3597,57,17239.272998046876,0.0,-5.675586795806884,-3.440500440774485e-05,4.76837158203125e-07,0.2,560,8673.7998046875,0.9999614953994751,1e-05,4.346388e-06,,
301.0,240,475136,1976,805.35913,58,23698.3845703125,0.0,-5.675598561763763,-0.00010351864038966596,1.1920928955078125e-06,0.2,570,12108.6279296875,0.9999637007713318,1e-05,1.0684278e-05,,
301.0,240,483328,2009,817.9719,59,16815.059692382812,0.0,-5.675596177577972,-0.00011220135493203998,1.3113021850585938e-06,0.2,580,7388.00048828125,0.9999592900276184,1e-05,1.3558209e-05,,
