rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/std,eval/mean_ep_length,eval/mean_reward
1091.36,9128.176,343,3434,1179648,36,0.0001,0.016583251953125,-1.9400485649704933,53479.277563476564,-0.000356485658994643,0.2,19384.73828125,0.4991467595100403,2820,0.004148811,0.3938717246055603,,
1098.72,9058.1875,343,3531,1212416,37,0.0001,0.0242889404296875,-1.9399397291243077,50466.69191894531,-0.00015156547888182104,0.2,17700.6796875,0.5470000803470612,2830,0.0046623056,0.39386221766471863,,
1061.65,8821.952,343,3625,1245184,38,0.0001,0.0130950927734375,-1.939673124998808,52698.20104980469,-0.000592350087390514,0.2,19674.060546875,0.49960148334503174,2840,0.0033885865,0.39381784200668335,,
1038.56,8722.607,343,3721,1277952,39,0.0001,0.0238494873046875,-1.939337220042944,61380.79731445313,0.00018965194685733878,0.2,24715.087890625,0.38557159900665283,2850,0.0044198493,0.39380234479904175,,
1089.54,8811.07,343,3819,1310720,40,0.0001,0.0256622314453125,-1.9392377585172653,55549.15378417969,-0.0007548958965344355,0.2,20319.51953125,0.47619330883026123,2860,0.0048609795,0.3937951326370239,,
1156.24,9470.204,343,3916,1343488,41,0.0001,0.0188751220703125,-1.939143343269825,176053.8006591797,-0.00044754593254765497,0.2,51054.44140625,0.6016276776790619,2870,0.0039910395,0.3937877416610718,,
1201.84,9855.837,342,4016,1376256,42,0.0001,0.0234954833984375,-1.9391518458724022,51776.84814453125,8.208264625864103e-05,0.2,19987.103515625,0.5107347369194031,2880,0.0046305023,0.3937956392765045,,
1210.56,9926.065,342,4111,1409024,43,0.0001,0.0189971923828125,-1.9391834653913975,79962.24174804687,0.0005064059128926601,0.2,32750.95703125,0.7006628215312958,2890,0.003948946,0.39379680156707764,,
1184.31,9968.1,342,4208,1441792,44,0.0001,0.0253204345703125,-1.9389952786266804,46788.02185058594,0.0003479761515336577,0.2,17824.771484375,0.5144651234149933,2900,0.0047855135,0.3937531113624573,,
1104.43,9372.372,342,4303,1474560,45,0.0001,0.018341064453125,-1.9388713784515859,51685.46372070313,0.00023372094437945634,0.2,20578.75390625,0.5188829302787781,2910,0.0037409824,0.39377856254577637,,
1126.36,9237.074,342,4397,1507328,46,0.0001,0.0188690185546875,-1.9390152186155318,89658.1181640625,0.000389227872074116,0.2,36342.64453125,0.657456636428833,2920,0.0040859887,0.3937782645225525,,
1098.1,9090.121,342,4493,1540096,47,0.0001,0.022332763671875,-1.9387913040816784,47303.623803710936,-0.0003263542552303988,0.2,16878.388671875,0.5496373772621155,2930,0.0044378783,0.39373257756233215,,
1142.51,8731.731,342,4590,1572864,48,0.0001,0.0170074462890625,-1.9382606260478497,54580.574487304686,-0.0004358470163424499,0.2,21114.505859375,0.5041293501853943,2940,0.004032814,0.3936689496040344,,
,,,,1600000,,0.0001,0.0308441162109375,-1.9377972275018691,166756.00690917968,0.0029109092480211983,0.2,45030.8125,0.3115789294242859,2950,0.004746574,0.3936503827571869,1313.03,4844.46826171875
1210.11,9266.097,308,5208,1605632,49,,,,,,,,,,,,,
1191.07,9028.037,308,5305,1638400,50,0.0001,0.0297576904296875,-1.9374348059296609,51218.23591308594,-0.0006138842465588823,0.2,18600.92578125,0.584276407957077,2960,0.00475584,0.39358699321746826,,
1196.62,9083.144,309,5407,1671168,51,0.0001,0.02596435546875,-1.936930211633444,53931.574389648435,-0.00037246991705615075,0.2,21808.744140625,0.4651966691017151,2970,0.0050514587,0.39356186985969543,,
1193.86,8129.371,309,5502,1703936,52,0.0001,0.0174163818359375,-1.9368130013346672,283759.7319824219,0.0005315219153999351,0.2,176830.453125,0.4754766821861267,2980,0.0039946088,0.39356812834739685,,
1186.05,8610.7705,310,5598,1736704,53,0.0001,0.017218017578125,-1.9369113452732563,275938.4838378906,3.322937845950946e-05,0.2,77488.453125,0.5117422640323639,2990,0.0040260125,0.3935757577419281,,
1185.04,8703.544,310,5693,1769472,54,0.0001,0.0182708740234375,-1.936836115270853,70437.60036621094,0.00042114125753869305,0.2,30376.830078125,0.745147168636322,3000,0.0040131873,0.39355096220970154,,
1201.66,10261.634,311,5790,1802240,55,0.0001,0.015643310546875,-1.9366445548832416,50747.25419921875,-0.0002586765265732538,0.2,19179.4921875,0.5891768038272858,3010,0.0037283655,0.3935432732105255,,
1205.09,10023.623,311,5884,1835008,56,0.0001,0.0146636962890625,-1.9365892276167869,51174.88918457031,-0.00013853507480234838,0.2,19845.578125,0.6116412281990051,3020,0.003750361,0.3935391306877136,,
1193.01,9896.997,312,5980,1867776,57,0.0001,0.0261749267578125,-1.9364079438149928,49205.692163085936,-4.114322800887749e-05,0.2,18808.03515625,0.5696813762187958,3030,0.004881395,0.3935031294822693,,
1225.11,10164.456,312,6079,1900544,58,0.0001,0.0186859130859375,-1.9361589759588242,50465.17770996094,-0.0005169489391846583,0.2,17985.55078125,0.5646802186965942,3040,0.0038294308,0.39349061250686646,,
1202.67,10081.434,313,6174,1933312,59,0.0001,0.011529541015625,-1.9360072880983352,50193.40971679687,0.00019370665540918708,0.2,18990.044921875,0.6089295744895935,3050,0.00328672,0.3934686779975891,,
1215.26,10483.4,313,6270,1966080,60,0.0001,0.0260406494140625,-1.935855471342802,52637.918774414065,0.0004950327682308852,0.2,20647.484375,0.5168989300727844,3060,0.0046333196,0.39346328377723694,,
1210.76,10628.094,313,6369,1998848,61,0.0001,0.024151611328125,-1.935782041400671,49290.89411621094,-0.0003881278993503656,0.2,17971.7890625,0.5549574196338654,3070,0.0047347723,0.3934597373008728,,
1236.48,10862.818,314,6467,2031616,62,0.0001,0.0193359375,-1.9354823760688304,47743.38422851563,-0.0005724144422856626,0.2,18343.787109375,0.590844064950943,3080,0.0042837816,0.39339661598205566,,
