rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/std,train/approx_kl,train/clip_range,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
1593.0,1030.85,1540096,47,172,8949,2930,-1.8089595926459878,0.7585879862308502,6299.05078125,15698.848742628097,0.064208984375,0.0001,0.38132259249687195,0.0068971594,0.2,-0.0005420606454663357,,
1435.0,1141.2,1572864,48,171,9154,2940,-1.8079563655657693,0.8060131371021271,7397.798828125,10676.27449668646,0.0496185302734375,0.0001,0.3812107443809509,0.00583522,0.2,-0.0011330203092256852,,
,,1600000,,,,2950,-1.8052550437161698,0.7398366928100586,1553.3006591796875,10034.907867014408,0.0577423095703125,0.0001,0.38084858655929565,0.0065357033,0.2,-0.0010441258836181079,1448.0,1119.0
1126.0,1155.99,1605632,49,155,10318,,,,,,,,,,,,,
610.0,1138.57,1638400,50,156,10497,2960,-1.8028176879510283,0.7291921377182007,631.739501953125,6529.002978599072,0.0613616943359375,0.0001,0.3806781470775604,0.006467956,0.2,-0.00043686821816208977,,
603.0,1040.28,1671168,51,156,10674,2970,-1.7991522367112338,0.5233646035194397,7383.97607421875,34571.04031879306,0.05821533203125,0.0001,0.3802170157432556,0.006657649,0.2,-0.0008562448416796542,,
643.0,911.0,1703936,52,156,10856,2980,-1.7955591253470629,0.7823368608951569,3144.620361328125,9013.861916732789,0.0620391845703125,0.0001,0.38006263971328735,0.0066886665,0.2,-0.001321357409540269,,
1211.0,1057.35,1736704,53,157,11041,2990,-1.7954104099888355,0.6806759238243103,1294.890869140625,15171.948829823732,0.0704193115234375,0.0001,0.38009923696517944,0.007832087,0.2,-0.0007754893637638815,,
1052.0,994.55,1769472,54,157,11215,3000,-1.7962467901175843,0.6227618455886841,27276.380859375,14567.093103080988,0.0867523193359375,0.0001,0.38015809655189514,0.00822949,0.2,-0.0012506886023857077,,
1357.0,1011.19,1802240,55,158,11387,3010,-1.794423077441752,0.6423772275447845,11774.35546875,11212.09050334692,0.0740570068359375,0.0001,0.3798498213291168,0.007987763,0.2,-0.0006570973485167997,,
1835.0,1044.92,1835008,56,158,11575,3020,-1.7910845337435604,0.7569937258958817,587.9786376953125,10621.294801110029,0.06351318359375,0.0001,0.37956690788269043,0.0069978363,0.2,0.0003862756655962585,,
1780.0,1022.15,1867776,57,158,11777,3030,-1.7893224423052743,0.6605395078659058,11604.08984375,11755.364894080161,0.0699005126953125,0.0001,0.37957316637039185,0.00629542,0.2,0.0006002487882938113,,
2048.0,1073.71,1900544,58,158,11957,3040,-1.7873178650392219,0.7825172692537308,7070.55859375,10582.865696847439,0.05665283203125,0.0001,0.3791844844818115,0.0065661166,0.2,-0.0010144223773522754,,
2366.0,1299.4,1933312,59,159,12153,3050,-1.7830364339519291,0.7794473469257355,5198.49365234375,9886.557125866413,0.0590667724609375,0.0001,0.37870532274246216,0.006429637,0.2,-0.0007666584111120755,,
3054.0,1336.48,1966080,60,159,12343,3060,-1.7801018907688557,0.5307445526123047,4788.52880859375,28346.86164302826,0.0599639892578125,0.0001,0.37867307662963867,0.0061691236,0.2,-1.9849084947054507e-05,,
3098.0,1189.71,1998848,61,159,12538,3070,-1.7786846535746008,0.6775228083133698,3716.31494140625,15097.23765153885,0.0692657470703125,0.0001,0.3784486651420593,0.007449185,0.2,0.0007861983123234495,,
3791.0,1203.66,2031616,62,159,12749,3080,-1.7760622484842314,0.7611599117517471,2304.43994140625,15291.221261525154,0.07020263671875,0.0001,0.37815725803375244,0.0074742166,0.2,-0.0005395065938728294,,
