time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,train/std,train/entropy_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
263,621.7859,671744,82,301.0,2548,0.8334705084562302,0.2,-0.000389862338124658,810,16879.7421875,0.0,27602.268655395506,0.001,0.9378778338432312,-5.413244561851025,0.00036913407,,
263,566.85,679936,83,301.0,2578,0.8567837029695511,0.2,-0.00021906809743086342,820,11467.654296875,0.0,23177.5918258667,0.001,0.9388810992240906,-5.418765233457089,0.00038664666,,
263,560.5834,688128,84,301.0,2608,0.8872921317815781,0.2,-0.00038638591067865493,830,7961.87841796875,0.0,17884.01345062256,0.001,0.9384188652038574,-5.419689835608006,0.00031459227,,
263,556.20447,696320,85,301.0,2638,0.876090869307518,0.2,-0.00024203164612117688,840,8728.740234375,0.0,22992.935050964355,0.001,0.9384877681732178,-5.419051705300808,0.00059360504,,
264,558.6853,704512,86,301.0,2668,0.9089390933513641,0.2,-4.820607646252029e-05,850,5412.5625,0.0,16319.552215576172,0.001,0.9388018250465393,-5.419981481134892,0.00013839465,,
264,553.74365,712704,87,301.0,2698,0.9017678648233414,0.2,-0.0005747144463384757,860,9851.501953125,8.544921875e-05,16248.502375793458,0.001,0.93732750415802,-5.4165931478142735,0.0014592748,,
264,551.82513,720896,88,301.0,2729,0.8907236009836197,0.2,-0.0002719812475334038,870,10455.587890625,0.0,17123.836932373048,0.001,0.9373248219490051,-5.414656674861908,0.00020576199,,
264,502.32767,729088,89,301.0,2759,0.9005551934242249,0.2,-0.00017828330892371013,880,7201.162109375,0.0,18485.54002380371,0.001,0.9376713037490845,-5.4151956796646115,0.00019213045,,
264,541.2897,737280,90,301.0,2790,0.8863949403166771,0.2,-4.208004465908743e-05,890,12005.2373046875,0.0,17165.365783691406,0.001,0.9373262524604797,-5.4146210044622425,0.00016387369,,
264,529.13275,745472,91,301.0,2820,0.9190867692232132,0.2,-0.0015057524127769285,900,4802.181640625,0.0032958984375,13329.466636657715,0.001,0.9370651841163635,-5.414255283772945,0.0031059026,,
264,478.84735,753664,92,301.0,2851,0.8968794867396355,0.2,-0.0006506114004878327,910,4630.5810546875,0.0,13956.516316986084,0.001,0.9363052845001221,-5.41149719208479,0.00079737825,,
264,451.28687,761856,93,301.0,2881,0.8965353742241859,0.2,-0.0007103834494046168,920,7231.28173828125,0.0,18308.330282592775,0.001,0.9381390810012817,-5.413165071606636,0.00050054205,,
264,418.54742,770048,94,301.0,2911,0.8964285030961037,0.2,-0.0005912033697313745,930,9439.5859375,0.0,15018.749200439453,0.001,0.9370507001876831,-5.415044204890728,0.00084159215,,
264,422.48727,778240,95,301.0,2942,0.8477962762117386,0.2,-7.725422728981357e-05,940,5424.85546875,0.0,15073.210174560547,0.001,0.9371240139007568,-5.41251679956913,9.481165e-05,,
264,498.84418,786432,96,301.0,2972,0.9082102403044701,0.2,-0.0014320985854283208,950,4259.13720703125,0.00142822265625,8392.091613769531,0.001,0.9369715452194214,-5.412768952548504,0.0024599852,,
264,512.054,794624,97,301.0,3002,0.8361374586820602,0.2,-0.00031677527076681147,960,11824.5234375,0.0,17115.354391479494,0.001,0.935440719127655,-5.409056414663792,0.00031353263,,
,,800000,,,,0.8569173067808151,0.2,-0.0003008821418916341,970,17618.984375,0.0,20282.807290649413,0.001,0.9336247444152832,-5.402636101841926,0.00026364106,227.45,-4709.74658203125
258,476.7919,802816,98,301.0,3100,,,,,,,,,,,,,
259,443.24765,811008,99,301.0,3130,0.8665014803409576,0.2,-0.0002424005047942046,980,7292.45947265625,0.0,22063.94969177246,0.001,0.934749960899353,-5.401042775809765,0.0002394955,,
259,376.36105,819200,100,301.0,3160,0.9223878532648087,0.2,-0.00010323041005904088,990,6437.33447265625,0.0,12443.838421630859,0.001,0.9334661960601807,-5.400321559607983,0.00014193739,,
259,371.37695,827392,101,301.0,3191,0.8934773653745651,0.2,6.098707490309607e-06,1000,5537.8681640625,0.0,16793.172337341308,0.001,0.9331790804862976,-5.39545423835516,0.0005271458,,
259,416.1113,835584,102,301.0,3221,0.8814259842038155,0.2,-0.00023730438879283612,1010,4936.27001953125,0.0,15785.503575134277,0.001,0.9319621324539185,-5.393677023053169,0.00028090086,,
259,420.5843,843776,103,301.0,3251,0.8958304822444916,0.2,-0.0005494251010532026,1020,8457.82421875,0.0,17114.256143188475,0.001,0.9306033253669739,-5.388196188211441,0.0006723086,,
259,422.7693,851968,104,301.0,3281,0.8926672637462616,0.2,-0.00033356041076331165,1030,4748.28955078125,0.0,11365.577544403077,0.001,0.9308795928955078,-5.385027974843979,0.0008155546,,
259,411.21048,860160,105,301.0,3312,0.8332196772098541,0.2,-0.0005941383547906298,1040,7330.76171875,3.662109375e-05,15838.65180130005,0.001,0.9295995235443115,-5.38274090141058,0.0013718412,,
