time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
1523712,270,1262.44,93,10855.211,5625,77597.640625,0.2,0.008171925,0.074676513671875,-0.0003804491483606398,3390,0.38698655366897583,-1.8690176643431187,0.0003,203031.18948364258,0.5348894596099854,,
1540096,270,1238.23,94,10504.863,5686,4287.916015625,0.2,0.0076064477,0.06795654296875,0.0026723033566668163,3400,0.38685348629951477,-1.8683571435511113,0.0003,18520.323776245117,0.7314068973064423,,
1556480,270,1222.13,95,10378.738,5745,4007.1689453125,0.2,0.0073571014,0.07412109375,-0.0008362640179257142,3410,0.38678354024887085,-1.8673321533948184,0.0003,16374.594674682618,0.7661532312631607,,
1572864,270,1221.73,96,10828.022,5806,110633.21875,0.2,0.0067659197,0.06494140625,-0.00016775648764451035,3420,0.38682475686073303,-1.8671443708240987,0.0003,202409.74236450196,0.6867964267730713,,
1589248,270,1152.17,97,10042.28,5866,6311.09423828125,0.2,0.00645906,0.060595703125,0.00019964331440860405,3430,0.3868143558502197,-1.867396442964673,0.0003,24787.33916320801,0.7738572806119919,,
1600000,,,,,,5078.94775390625,0.2,0.007120127,0.068170166015625,0.0013488728607626399,3440,0.3867632746696472,-1.8671308193355798,0.0003,20759.526832580566,0.6549894213676453,1018.19,8773.94921875
1605632,260,1178.49,98,10207.021,6159,,,,,,,,,,,,,
1622016,260,1215.69,99,10647.676,6221,9241.2880859375,0.2,0.006891432,0.049603271484375,-0.0009755403829331044,3450,0.3867335617542267,-1.8666443314403296,0.0003,27069.787588500978,0.8002122938632965,,
1638400,260,1241.61,100,10807.103,6282,108149.453125,0.2,0.00809384,0.076361083984375,0.0014111041000433033,3460,0.38666826486587524,-1.8662465162575246,0.0003,119384.28105163574,0.594023734331131,,
1654784,260,1240.99,101,10021.19,6342,188050.84375,0.2,0.0058622817,0.050189208984375,-0.0007897824014435173,3470,0.386600524187088,-1.8655246291309595,0.0003,273900.6105163574,0.7984196990728378,,
1671168,261,1227.92,102,9964.902,6401,249280.109375,0.2,0.0073283184,0.071002197265625,0.00021339259437809234,3480,0.38653993606567383,-1.8647742357105017,0.0003,343160.3246765137,0.7329829037189484,,
1687552,261,1218.28,103,9760.307,6461,4980.21875,0.2,0.006276319,0.04935302734375,-0.0014901333739544497,3490,0.3864784836769104,-1.8641890585422516,0.0003,28557.139590454102,0.8747387230396271,,
1703936,261,1246.76,104,10109.635,6522,4809.17041015625,0.2,0.0056660483,0.05299072265625,-7.51769563066773e-05,3500,0.3865067660808563,-1.8639619927853346,0.0003,29622.239294433595,0.8527324199676514,,
1720320,261,1205.19,105,9152.514,6582,3195.777099609375,0.2,0.0075603016,0.0703857421875,2.58678242971655e-05,3510,0.3864362835884094,-1.8637006752192975,0.0003,17227.38928527832,0.7419747710227966,,
1736704,261,1240.69,106,9320.925,6645,51940.6640625,0.2,0.006854045,0.063861083984375,-0.00023993954237084837,3520,0.38643351197242737,-1.8631931133568287,0.0003,169366.91860961914,0.5058104395866394,,
1753088,261,1276.58,107,9970.255,6707,5192.51025390625,0.2,0.006903395,0.068011474609375,-0.001383550020000257,3530,0.3861876130104065,-1.8619592275470496,0.0003,18363.92392730713,0.8041782379150391,,
1769472,261,1276.64,108,10321.863,6766,5672.888671875,0.2,0.007566343,0.07254638671875,0.0009381785552250221,3540,0.3862002491950989,-1.8606870979070664,0.0003,21112.49529418945,0.7457171082496643,,
1785856,261,1308.72,109,11260.192,6826,4128.6591796875,0.2,0.006967655,0.064776611328125,-0.00085069128399482,3550,0.3862348198890686,-1.8609497327357531,0.0003,13395.10718383789,0.6943897008895874,,
1802240,261,1344.62,110,11596.855,6889,6357.833984375,0.2,0.007182531,0.068695068359375,-0.0016434648248832672,3560,0.3861995339393616,-1.8610813956707717,0.0003,18637.37582397461,0.8611654937267303,,
1818624,261,1397.72,111,12575.039,6950,4352.5205078125,0.2,0.007601109,0.074249267578125,-0.0009239903451089049,3570,0.3859747052192688,-1.8597059275954961,0.0003,16535.81510925293,0.6511068046092987,,
1835008,261,1370.5,112,12153.773,7009,4565.5546875,0.2,0.006837851,0.0675048828125,-0.0009261250685085543,3580,0.3860740661621094,-1.8588699832558633,0.0003,18550.02805633545,0.7333298623561859,,
1851392,261,1450.99,113,13021.621,7071,3554.721435546875,0.2,0.0074467734,0.069384765625,-0.00040740597614785656,3590,0.3860630393028259,-1.859365215152502,0.0003,16936.503997802734,0.7056542634963989,,
1867776,261,1501.13,114,14118.293,7131,4172.33251953125,0.2,0.0066923257,0.05657958984375,-0.0007468615072866669,3600,0.38601362705230713,-1.85913957208395,0.0003,17039.600161743165,0.7131641805171967,,
1884160,261,1531.54,115,14684.575,7192,2833.8095703125,0.2,0.0067970417,0.060577392578125,-0.0015978356563209673,3610,0.38570350408554077,-1.857266341894865,0.0003,13469.519842529297,0.6924661695957184,,
1900544,261,1508.58,116,14521.018,7254,3861.73828125,0.2,0.007410248,0.0691162109375,1.2823236829717644e-06,3620,0.3856176733970642,-1.8550464533269406,0.0003,18200.65553741455,0.7625456899404526,,
1916928,262,1477.37,117,14327.289,7316,2230.859375,0.2,0.0059238477,0.051068115234375,-0.0003706906507431995,3630,0.3857160210609436,-1.855175743252039,0.0003,12951.170275878907,0.7378422319889069,,
1933312,262,1494.32,118,14652.738,7377,4974.49951171875,0.2,0.0069138133,0.06109619140625,0.0009308080909249839,3640,0.38559913635253906,-1.8550658330321312,0.0003,20302.455648803712,0.8025791943073273,,
1949696,262,1493.64,119,14735.36,7436,2951.46044921875,0.2,0.007340857,0.068951416015625,-0.0005409271296230144,3650,0.38547977805137634,-1.8538025967776774,0.0003,13408.608761596679,0.7907232344150543,,
1966080,262,1421.9,120,14007.182,7495,4589.34521484375,0.2,0.0077436683,0.07608642578125,-0.0021815451062138893,3660,0.38530921936035156,-1.85238716006279,0.0003,17007.0389541626,0.6347234845161438,,
1982464,262,1365.51,121,13618.238,7555,6246.22314453125,0.2,0.006164819,0.053741455078125,0.00019701088858710137,3670,0.38523930311203003,-1.8510479189455509,0.0003,21727.309463500977,0.48655664920806885,,
1998848,262,1336.1,122,13386.865,7615,4403.5556640625,0.2,0.0073404694,0.0666748046875,-0.0006834036073996685,3680,0.3850502669811249,-1.8497715089470148,0.0003,21515.394989013672,0.591325968503952,,
2015232,262,1314.18,123,13253.805,7676,3427.37158203125,0.2,0.0060988506,0.05318603515625,-0.0017187267145345685,3690,0.38497987389564514,-1.84827074483037,0.0003,16880.87541656494,0.6191957592964172,,
