time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/clip_fraction,train/std,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,eval/mean_ep_length,eval/mean_reward
137,301.0,39,3478,-242.64076,479232,0.0,0.06302897135416667,0.7463988065719604,0.000278189085778043,380,514.52392578125,0.0045884517,989.9343004465103,0.001,-4.482197997843226,0.2,,
137,301.0,40,3577,-211.04477,491520,0.0,0.0581298828125,0.7382010221481323,-0.0005520815861624821,390,586.2320556640625,0.0052718692,1022.1593315601349,0.001,-4.4570454654594265,0.2,,
136,301.0,41,3686,-181.31851,503808,1.1920928955078125e-07,0.0481689453125,0.725013792514801,0.0011550146184163169,400,412.3711853027344,0.003937969,1885.279364101092,0.001,-4.41686054058373,0.2,,
136,301.0,42,3791,-115.78174,516096,0.0,0.053369140625,0.718241810798645,0.0004982709251635242,410,310.3775939941406,0.007081649,840.0069750626882,0.001,-4.3830076576521,0.2,,
135,301.0,43,3890,-41.365326,528384,-1.1920928955078125e-07,0.059431966145833334,0.7137492895126343,0.0004118111724286185,420,204.5117645263672,0.004218263,1369.6573890566826,0.001,-4.305859333649278,0.2,,
135,301.0,44,3986,6.3594832,540672,0.15398401021957397,0.004345703125,0.7132512331008911,-0.0009935318380788279,430,372.9656982421875,0.0018197937,2796.040382707119,0.001,-4.298090859750906,0.2,,
135,301.0,45,4081,53.576397,552960,0.39493364095687866,0.0272216796875,0.7147318124771118,-0.0021061295363324463,440,245.67759704589844,0.004769519,1968.1310999910036,0.001,-4.309992007041971,0.2,,
135,301.0,46,4182,39.466465,565248,0.7981744557619095,0.0805419921875,0.7031568288803101,-0.0034999353271511304,450,135.43687438964844,0.0079124505,378.4617724776268,0.001,-4.2875260206560295,0.2,,
134,301.0,47,4282,56.176937,577536,0.6328780055046082,0.10104166666666667,0.7057960033416748,-0.006214742255663926,460,188.54537963867188,0.0076213367,1165.8644943992297,0.001,-4.2649609612921875,0.2,,
134,301.0,48,4380,103.911354,589824,0.8211224377155304,0.08599446614583334,0.6974564790725708,-0.0021254403186806788,470,256.40020751953125,0.007358458,350.8416834533215,0.001,-4.227647572134932,0.2,,
,,,,,600000,0.7989355176687241,0.09532063802083333,0.6914732456207275,-0.001969544380699517,480,98.44170379638672,0.007075729,325.4401231606801,0.001,-4.148634822666645,0.2,261.5,-14789.9404296875
134,300.77,49,4485,25.488428,602112,,,,,,,,,,,,,
133,300.77,50,4603,66.53814,614400,0.5313279926776886,0.10204264322916666,0.6792823076248169,-0.0008844510574514667,490,98.80199432373047,0.008983542,1118.0394385635852,0.001,-4.114541575436791,0.2,,
132,300.77,51,4713,87.9931,626688,0.7212677896022797,0.11829427083333334,0.6679748296737671,-0.00044086275059574597,500,121.73284149169922,0.0098535,314.30604925553,0.001,-4.035315461580952,0.2,,
132,301.0,52,4819,217.31055,638976,0.7253508865833282,0.13557942708333334,0.6588588953018188,0.0006864280321072631,510,264.8836364746094,0.009296868,297.1524001598358,0.001,-3.9862608997772138,0.2,,
131,301.0,53,4941,241.3467,651264,0.7412604689598083,0.15865885416666667,0.6606048345565796,-0.0005759288664800503,520,169.4677734375,0.0114148855,324.1759637872378,0.001,-3.928771852577726,0.2,,
131,301.0,54,5058,269.08942,663552,0.7241881787776947,0.12513020833333333,0.6677989959716797,0.002060500728111947,530,184.616455078125,0.012783002,282.9861119091511,0.001,-3.982101441236834,0.2,,
130,301.0,55,5159,268.472,675840,0.6564694941043854,0.15029296875,0.6628115773200989,0.0053328117098014145,540,104.31388854980469,0.011130929,305.74029562274615,0.001,-3.9992591983328265,0.2,,
130,301.0,56,5274,284.82916,688128,0.2640126943588257,0.14071451822916667,0.6592817306518555,0.0027113739401102067,550,134.20272827148438,0.015097295,1155.6386273284754,0.001,-3.9427117202430964,0.2,,
130,301.0,57,5381,309.08484,700416,0.0706934928894043,0.1559814453125,0.6507946252822876,0.00342020754457432,560,88.60222625732422,0.013226473,1796.757216835022,0.001,-3.8998885646462442,0.2,,
129,301.0,58,5484,328.76566,712704,0.15531861782073975,0.14115397135416666,0.6485569477081299,0.00285239144989949,570,91.36193084716797,0.012917819,1767.3522292335829,0.001,-3.8581751380115747,0.2,,
129,301.0,59,5592,274.4952,724992,0.1790710687637329,0.18917643229166667,0.6428990960121155,-0.005604425583927272,580,133.96189880371094,0.014419128,1085.787155262629,0.001,-3.841580688022077,0.2,,
129,301.0,60,5711,275.01324,737280,0.056252241134643555,0.18030598958333333,0.6407616138458252,-0.0015596932156768163,590,268.0007019042969,0.014328604,1938.8375451207162,0.001,-3.7926545119533936,0.2,,
129,301.0,61,5808,333.7356,749568,0.11290979385375977,0.144189453125,0.6313208341598511,-0.004918185629018505,600,208.39639282226562,0.012776546,1151.0930273890494,0.001,-3.760028221271932,0.2,,
129,301.0,62,5901,359.83035,761856,0.06905937194824219,0.14047037760416667,0.6249547600746155,-0.0002955478975006069,610,602.3787841796875,0.012180661,4170.715429850419,0.001,-3.720417241503795,0.2,,
129,301.0,63,5993,339.76813,774144,0.2427912950515747,0.12027994791666667,0.6129717826843262,-0.002760355380208542,620,343.8076477050781,0.01133751,2034.270167307059,0.001,-3.6854362450540066,0.2,,
129,301.0,64,6083,369.34433,786432,0.3142966628074646,0.114697265625,0.6023949384689331,-0.0015088517272185225,630,162.57952880859375,0.010061927,1966.7328740119933,0.001,-3.594734738394618,0.2,,
