time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/clip_fraction,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/loss,train/entropy_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
84,74.80227,2752512,9068,296.24,303,0.2733917236328125,0.027974606,2060,0.004938529917581036,0.2,0.001,2570.3931597948076,408.6163330078125,-3.2203678539954126,0.5442383885383606,0.8073503077030182,,
85,-67.69675,2785280,9177,296.52,303,0.299981689453125,0.03311139,2070,0.005309273036573359,0.2,0.001,4466.745399856567,817.7048950195312,-3.2291218508034945,0.5446224212646484,0.7480163276195526,,
86,190.18591,2818048,9287,295.88,303,0.3033050537109375,0.033905175,2080,0.007058540865091345,0.2,0.001,3699.1030919671057,252.98985290527344,-3.235919252038002,0.5440762639045715,0.8001201748847961,,
87,27.991367,2850816,9394,300.34,303,0.2856658935546875,0.031072557,2090,0.006698960240692031,0.2,0.001,4055.6035637259483,477.5378723144531,-3.2187323475256564,0.5414068102836609,0.771801695227623,,
88,309.76248,2883584,9503,297.36,303,0.296502685546875,0.0310036,2100,0.00671015001817068,0.2,0.001,3741.627721560001,584.4348754882812,-3.215120714623481,0.5421591997146606,0.7475815117359161,,
89,114.388115,2916352,9612,297.86,303,0.30037841796875,0.034700114,2110,0.009655391030082682,0.2,0.001,5053.407373929023,977.7871704101562,-3.196843881160021,0.5390008687973022,0.705085813999176,,
90,411.81317,2949120,9720,300.75,303,0.293682861328125,0.033909023,2120,0.005691951139488083,0.2,0.001,4161.888381981849,280.4628601074219,-3.182876590639353,0.5379378199577332,0.7345756888389587,,
91,258.41864,2981888,9828,295.86,303,0.300396728515625,0.03266356,2130,0.006662993586724042,0.2,0.001,3861.238000822067,1194.793701171875,-3.17019868446514,0.5349533557891846,0.7379719913005829,,
92,383.55634,3014656,9936,300.83,303,0.28270263671875,0.029737271,2140,0.00579208901626771,0.2,0.001,3734.33197555542,434.2123718261719,-3.1561059908010067,0.5335454344749451,0.7306027412414551,,
93,300.78058,3047424,10044,300.42,303,0.283868408203125,0.03118084,2150,0.008294166981522721,0.2,0.001,4863.291497373581,1071.25439453125,-3.142431243695319,0.5319982767105103,0.7196194231510162,,
94,334.445,3080192,10153,300.01,303,0.2687713623046875,0.028837992,2160,0.0058756573910159204,0.2,0.001,3829.2396434307097,483.4699401855469,-3.1332405937835572,0.5308976173400879,0.7238058745861053,,
