rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/learning_rate,train/explained_variance,train/value_loss,train/std,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,train/entropy_loss,train/loss,eval/mean_reward,eval/mean_ep_length
401.94,1175.7576,1540096,4081,377,47,0.022857666015625,0.0001,0.768243134021759,28407.7956741333,0.39194607734680176,-0.000333738178051135,0.0042123124,0.2,2930,-1.9202191954478622,10408.7587890625,,
396.44,1077.7769,1572864,4161,377,48,0.015179443359375,0.0001,0.7985358387231827,24165.823219299316,0.39192020893096924,9.560183702888026e-05,0.0037645479,0.2,2940,-1.9199821013957261,8404.5400390625,,
,,1600000,,,,0.023651123046875,0.0001,0.806789755821228,24232.719848632812,0.39191415905952454,-0.0005979327312161331,0.0038739392,0.2,2950,-1.919831021130085,7759.89990234375,2102.5615234375,316.92
401.4,1397.2384,1605632,4326,371,49,,,,,,,,,,,,,
401.86,1394.8912,1638400,4409,371,50,0.0238739013671875,0.0001,0.7601796686649323,29777.41376953125,0.3918914198875427,-0.00017788509730962688,0.0039910744,0.2,2960,-1.9197128280997275,12184.44921875,,
417.05,1585.3666,1671168,4491,372,51,0.01661376953125,0.0001,0.7529208809137344,24522.01625671387,0.3918483257293701,-9.198776442644884e-05,0.0035561896,0.2,2970,-1.919388798624277,9791.384765625,,
410.46,1465.2985,1703936,4572,372,52,0.0152374267578125,0.0001,0.7927467972040176,25188.15772857666,0.3918156921863556,-0.0003213236825104104,0.0036288477,0.2,2980,-1.918982831761241,6688.96826171875,,
393.65,1134.1732,1736704,4654,373,53,0.025909423828125,0.0001,0.7824419140815735,25959.562492370605,0.3917842209339142,0.0003564724213902082,0.0046226718,0.2,2990,-1.918674013391137,9634.587890625,,
396.36,1321.5942,1769472,4738,373,54,0.02203369140625,0.0001,0.762257382273674,29953.018911743166,0.39174842834472656,-0.00038770224600739314,0.003908037,0.2,3000,-1.9182757096365095,7770.197265625,,
418.1,1545.1921,1802240,4823,373,55,0.0110595703125,0.0001,0.7568452209234238,27241.177888488768,0.39172112941741943,0.0002913064629865403,0.0032137544,0.2,3010,-1.9179646920412778,8369.6884765625,,
416.96,1485.3914,1835008,4908,373,56,0.0162841796875,0.0001,0.7915923297405243,24805.31270904541,0.3917257785797119,-0.00015792842877999648,0.0032375155,0.2,3020,-1.9178734820336103,9676.849609375,,
420.6,1757.354,1867776,4994,373,57,0.012872314453125,0.0001,0.7659769356250763,27109.758171081543,0.39168766140937805,-0.00040357624120588296,0.0032306476,0.2,3030,-1.9177102979272604,13551.71875,,
433.82,1936.0825,1900544,5079,374,58,0.024530029296875,0.0001,0.7462120950222015,26880.46902770996,0.3916989266872406,0.0005559796483794344,0.0037946324,0.2,3040,-1.9175593998283147,11914.8916015625,,
425.2,1820.1981,1933312,5163,374,59,0.0163360595703125,0.0001,0.7004778385162354,27112.095368957518,0.39166536927223206,-0.0008353876070032129,0.0039253347,0.2,3050,-1.917451434209943,9644.5654296875,,
414.63,1791.4706,1966080,5247,374,60,0.0119964599609375,0.0001,0.7755607664585114,25013.450912475586,0.3916507065296173,3.86674778383167e-06,0.003014319,0.2,3060,-1.9171958938241005,11976.2353515625,,
427.58,1776.5553,1998848,5330,374,61,0.0182952880859375,0.0001,0.7613412886857986,29292.010639953613,0.3916311264038086,-0.0004274499748134986,0.0037068897,0.2,3070,-1.9170172793790698,7984.39990234375,,
414.08,1618.4708,2031616,5413,375,62,0.0216064453125,0.0001,0.7577809542417526,29818.02070007324,0.39160895347595215,-0.0005200970114856319,0.0045154113,0.2,3080,-1.916802449710667,9472.568359375,,
