time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,eval/mean_reward,eval/mean_ep_length
199,1638400,600.54,3292.9507,8225,50,0.023210008,2340,-2.1301198966801165,0.7459451854228973,867.0880737304688,0.004774834065028699,0.4127560257911682,0.2208404541015625,6249.319729232788,0.2,0.001,,
199,1671168,601.0,3334.0537,8384,51,0.021720175,2350,-2.1204467207193374,0.743270069360733,655.2767333984375,0.003947170563333202,0.41141295433044434,0.2246917724609375,6242.573112869262,0.2,0.001,,
199,1703936,600.79,3285.1282,8543,52,0.017658502,2360,-2.10813959017396,0.7244581878185272,802.978759765625,0.003032215716666542,0.4100302457809448,0.192010498046875,5947.896390914917,0.2,0.001,,
199,1736704,589.18,3040.3044,8702,53,0.020559864,2370,-2.095287049561739,0.7193549573421478,822.3988647460938,0.003850926500672358,0.4090649485588074,0.2095458984375,6226.242660522461,0.2,0.001,,
199,1769472,580.72,3155.3748,8862,54,0.020790882,2380,-2.0730716779828073,0.7569912374019623,724.865234375,0.0019165214249369455,0.4056912064552307,0.2197784423828125,5627.533807563782,0.2,0.001,,
199,1802240,585.12,3151.8887,9021,55,0.02185845,2390,-2.0472534142434595,0.7511692047119141,909.14453125,0.005960590938411769,0.4036822021007538,0.2350311279296875,6836.158599090576,0.2,0.001,,
199,1835008,575.13,3082.4563,9180,56,0.02332928,2400,-2.031946685165167,0.7415814399719238,636.2291870117188,0.005502019820778514,0.4026104509830475,0.2347381591796875,6267.43416519165,0.2,0.001,,
199,1867776,584.42,3053.2585,9339,57,0.022155311,2410,-2.020052380859852,0.69378262758255,1031.3779296875,0.003890872257761657,0.4008614122867584,0.2370758056640625,7982.673012924194,0.2,0.001,,
200,1900544,594.75,3230.893,9499,58,0.020970287,2420,-2.0076215460896494,0.7105942666530609,734.0486450195312,0.0043766899270849535,0.4002876877784729,0.2212005615234375,5995.398999404907,0.2,0.001,,
200,1933312,597.72,3275.7537,9658,59,0.021821775,2430,-1.9975440822541715,0.7651499062776566,882.385986328125,0.0046804781195533,0.39893579483032227,0.2232208251953125,5267.8575597763065,0.2,0.001,,
200,1966080,594.81,3285.5637,9818,60,0.018368572,2440,-1.9875104174017906,0.7767942398786545,553.884521484375,0.0022339912720781285,0.3981415033340454,0.1968048095703125,5375.480970954895,0.2,0.001,,
200,1998848,594.73,3130.027,9977,61,0.024621915,2450,-1.9784337781369685,0.7337364256381989,1399.171630859375,0.005556785313820001,0.3971196413040161,0.2546539306640625,7177.217078018189,0.2,0.001,,
200,2031616,600.92,3085.689,10136,62,0.0226276,2460,-1.9697650875896215,0.7513184696435928,1037.0673828125,0.0027811425097752362,0.3962383270263672,0.21973876953125,5589.042360305786,0.2,0.001,,
