time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/mean_ep_length
1736704,53,299.17,143,12099,1089.3466,-9.55972519250281e-05,-2.4386848702095447,12831.00390625,27874.774850559235,1e-05,0.4468577206134796,2980,0.0032146769,0.6988280713558197,0.014739990234375,0.2,,
1769472,54,293.38,143,12322,1281.8955,-0.0006919286508946243,-2.438357258727774,9180.099609375,24387.850382900237,1e-05,0.4468291401863098,2990,0.0030248729,0.7336913645267487,0.00740966796875,0.2,,
1802240,55,295.06,143,12544,1286.0991,-0.0002936298396662096,-2.4385044870432466,9398.5234375,29635.045316696167,1e-05,0.44688332080841064,3000,0.0032421912,0.6481005251407623,0.011669921875,0.2,,
1835008,56,293.9,143,12767,1157.1042,-0.0004867944371653721,-2.438572351401672,10886.6865234375,27628.87392759323,1e-05,0.44682520627975464,3010,0.002978479,0.6725947260856628,0.0093597412109375,0.2,,
1867776,57,297.09,143,12991,1048.5946,-0.00047001453824577764,-2.4381336599588392,7794.57763671875,26282.2431763649,1e-05,0.4467928409576416,3020,0.0036046617,0.6720064282417297,0.0122222900390625,0.2,,
1900544,58,295.7,143,13217,1194.2004,-0.00048718289472162726,-2.437881269864738,22573.28125,24064.0036403656,1e-05,0.4467596113681793,3030,0.0036225975,0.7014058232307434,0.0129730224609375,0.2,,
1933312,59,299.08,143,13443,1069.2285,-0.0005949332369482363,-2.437485208641738,8969.4052734375,24329.2619222641,1e-05,0.4467008411884308,3040,0.0039647953,0.6929724514484406,0.013189697265625,0.2,,
1966080,60,297.48,143,13667,1114.4456,-0.00014502293993245985,-2.4369981555268168,2589.755615234375,22244.73197388649,1e-05,0.4466455578804016,3050,0.004078131,0.7195607423782349,0.0203460693359375,0.2,,
1998848,61,296.72,143,13890,1037.7242,-0.0008538949086300818,-2.4366065429989248,10016.2548828125,22556.122725248337,1e-05,0.4466150403022766,3060,0.0039216494,0.7259314656257629,0.0158172607421875,0.2,,
2031616,62,299.38,143,14114,1173.2605,-0.0001507017447693215,-2.436214755475521,11475.470703125,23697.651336860657,1e-05,0.44656071066856384,3070,0.0025845468,0.708843857049942,0.0068267822265625,0.2,,
