time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,eval/mean_ep_length,eval/mean_reward
7584,46,1507328,198,590.77,1768.582,0.5388289093971252,1680,0.2,0.227825927734375,0.001,0.020382538,0.002217870732602023,3708.09957075119,0.6901901960372925,-3.1954115871340036,402.3201904296875,,
7748,47,1540096,198,590.77,1790.4677,0.536747395992279,1690,0.2,0.2319976806640625,0.001,0.021519238,0.001121060620425851,4087.644628047943,0.7261897623538971,-3.1811482299119236,653.9844360351562,,
7912,48,1572864,198,596.31,2001.8394,0.5350083112716675,1700,0.2,0.2291961669921875,0.001,0.02075554,0.00039148669839050854,4098.025773525238,0.7174288630485535,-3.1645813915878533,531.3871459960938,,
,,1600000,,,,0.533312201499939,1710,0.2,0.261602783203125,0.001,0.023724405,0.0031305488308134956,5220.669295215606,0.6122776865959167,-3.15046476572752,435.03448486328125,364.28,1766.8092041015625
8288,49,1605632,193,594.98,2318.126,,,,,,,,,,,,,
8452,50,1638400,193,595.22,2271.178,0.5313900709152222,1720,0.2,0.2571563720703125,0.001,0.024718283,0.003941664937838141,5871.690236854553,0.6699345707893372,-3.138642122596502,1255.739501953125,,
8616,51,1671168,193,590.59,2155.0688,0.5284985303878784,1730,0.2,0.246441650390625,0.001,0.022514472,0.0029899565215600887,3784.7829011917115,0.6806972324848175,-3.118672185391188,393.5483703613281,,
8780,52,1703936,194,594.23,2386.1333,0.5268194675445557,1740,0.2,0.222607421875,0.001,0.020198826,0.002250811330668512,5900.956303787231,0.6669609248638153,-3.1021573066711428,1333.599609375,,
8944,53,1736704,194,589.86,2371.4382,0.5242369174957275,1750,0.2,0.2324371337890625,0.001,0.021519378,0.0016418008708569687,4337.559667682648,0.7072412967681885,-3.0847823545336723,629.4911499023438,,
9108,54,1769472,194,585.63,2362.3223,0.5238103866577148,1760,0.2,0.2343536376953125,0.001,0.02068074,0.003014406959846383,6880.032361221313,0.6626850068569183,-3.0746710266917945,1339.3402099609375,,
9272,55,1802240,194,591.12,2311.0203,0.5219328999519348,1770,0.2,0.2248138427734375,0.001,0.021204893,0.0028750545996899745,3669.5489911079408,0.7374472618103027,-3.064901103079319,873.081787109375,,
9436,56,1835008,194,586.12,2130.913,0.5201376676559448,1780,0.2,0.26116943359375,0.001,0.02370843,0.003974604350332811,6079.96139125824,0.7196034789085388,-3.04914735481143,791.0646362304688,,
9600,57,1867776,194,590.36,2100.3328,0.5198678970336914,1790,0.2,0.232562255859375,0.001,0.022201532,0.0013820776397551527,4220.072428703308,0.7586396187543869,-3.044623899832368,748.1185913085938,,
9763,58,1900544,194,589.62,2350.3523,0.5180658102035522,1800,0.2,0.243096923828125,0.001,0.022655882,0.002640456808148883,5070.558693885803,0.6971956789493561,-3.035128182917833,2116.96142578125,,
9927,59,1933312,194,594.09,2123.1235,0.5154126882553101,1810,0.2,0.25299072265625,0.001,0.024571538,0.004653275775854127,4406.672947311401,0.7322033643722534,-3.0179022032767535,1178.239013671875,,
10091,60,1966080,194,593.95,2078.5325,0.5153622627258301,1820,0.2,0.23526611328125,0.001,0.02309227,0.0024896446460843436,3828.7054928779603,0.7686270028352737,-3.00829431116581,459.5572204589844,,
10255,61,1998848,194,595.61,2193.5723,0.5147107839584351,1830,0.2,0.2339599609375,0.001,0.021987144,0.0014886224221299926,4407.8252825737,0.7576366066932678,-3.0071254279464483,522.6962890625,,
10419,62,2031616,194,580.64,2004.442,0.5117515921592712,1840,0.2,0.2159210205078125,0.001,0.01962042,0.003417940146755427,3677.62490234375,0.7625270932912827,-2.9938382230699063,810.6358642578125,,
