time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
278,301.0,937.47406,622592,2235,76,10435.354920959473,750,0.0044290945,0.03856201171875,0.9514976143836975,3139.895263671875,-0.001995187805732712,0.2,0.001,0.37190502882003784,-5.476251074671746,,
278,301.0,898.8508,630784,2262,77,13896.821270751952,760,0.0033467633,0.02352294921875,0.9508423805236816,4041.961669921875,0.0010386732312326786,0.2,0.001,0.2900359034538269,-5.473144155740738,,
278,301.0,922.33514,638976,2290,78,12919.62240600586,770,0.003051098,0.01495361328125,0.9516304731369019,3606.04345703125,-0.0012314800173044206,0.2,0.001,0.31564390659332275,-5.473499971628189,,
279,301.0,866.61365,647168,2317,79,14479.149871826172,780,0.002839181,0.018310546875,0.9519504308700562,3776.771240234375,-0.0006927326976438053,0.2,0.001,0.3318037986755371,-5.476213681697845,,
279,301.0,813.5768,655360,2346,80,9846.677183532714,790,0.0031656427,0.0156982421875,0.952431321144104,4596.41357421875,-1.1838936916319654e-05,0.2,0.001,0.34435826539993286,-5.477479347586632,,
279,301.0,857.16345,663552,2373,81,9440.516035461425,800,0.0045918534,0.04097900390625,0.949292004108429,3328.7373046875,-0.0013977644972328561,0.2,0.001,0.2708916664123535,-5.471793708205223,,
279,301.0,880.6526,671744,2401,82,15756.762811279297,810,0.0049419757,0.04130859375,0.9487160444259644,4722.396484375,-0.0012259960611118003,0.2,0.001,0.24618804454803467,-5.463965013623238,,
279,301.0,948.7277,679936,2428,83,13081.196875,820,0.005030828,0.0331298828125,0.9456837177276611,4886.11376953125,0.00040640848383191044,0.2,0.001,0.31376296281814575,-5.45652129650116,,
280,301.0,929.21814,688128,2455,84,13140.94930419922,830,0.0039746743,0.02530517578125,0.9448219537734985,5382.3818359375,-6.71480425808113e-05,0.2,0.001,0.14459681510925293,-5.447607383131981,,
280,301.0,944.7774,696320,2483,85,14131.302783203126,840,0.003390667,0.0287109375,0.9439122676849365,8567.685546875,-0.002092381295369705,0.2,0.001,0.0988803505897522,-5.445246568322181,,
280,301.0,968.44055,704512,2510,86,16621.930584716796,850,0.0028052055,0.01400146484375,0.9439581036567688,8572.48046875,-0.0008493232453474775,0.2,0.001,0.36093568801879883,-5.442662343382835,,
280,301.0,1005.98224,712704,2538,87,16689.180642700194,860,0.003995206,0.026611328125,0.9424693584442139,5245.35205078125,-0.0012780018980265595,0.2,0.001,0.2568366527557373,-5.43952928185463,,
280,301.0,1051.9536,720896,2565,88,14907.295013427734,870,0.00427706,0.0365966796875,0.9409255385398865,6310.12255859375,-0.0007508818569476716,0.2,0.001,0.2685123682022095,-5.433030071854591,,
281,301.0,1085.4979,729088,2593,89,14914.408139038085,880,0.0036144662,0.02347412109375,0.9397425651550293,5334.50048828125,0.00019511502105160617,0.2,0.001,0.21749573945999146,-5.4271753370761875,,
281,301.0,1081.1101,737280,2620,90,15217.38896484375,890,0.0058182226,0.0376708984375,0.9387004971504211,5858.9189453125,-0.001314884090970736,0.2,0.001,0.3166748881340027,-5.421871390938759,,
281,301.0,1031.8995,745472,2648,91,12820.458551025391,900,0.0047504473,0.031689453125,0.9383872747421265,2768.742431640625,0.00018976550563820638,0.2,0.001,0.22537147998809814,-5.419261053204536,,
281,301.0,1019.1753,753664,2675,92,11490.209313964844,910,0.004681653,0.04674072265625,0.938316822052002,2317.211181640625,-3.845612081931904e-06,0.2,0.001,0.22176653146743774,-5.418773686885833,,
281,301.0,1057.4185,761856,2703,93,17030.80631713867,920,0.004526614,0.048828125,0.9380412101745605,6365.65087890625,0.0016934633433265845,0.2,0.001,0.17918378114700317,-5.41752387881279,,
281,301.0,1040.8164,770048,2731,94,21910.851989746094,930,0.008447986,0.0908203125,0.937559187412262,11637.19921875,0.0008542339208361227,0.2,0.001,0.14450079202651978,-5.415540689229966,,
282,301.0,1009.69116,778240,2758,95,10155.284117126464,940,0.00436767,0.0282470703125,0.9373825192451477,1987.396728515625,-4.11446308135055e-05,0.2,0.001,0.28665751218795776,-5.4146311521530155,,
282,301.0,1002.67834,786432,2786,96,13405.78180847168,950,0.005594773,0.049072265625,0.9362078905105591,5055.5712890625,-0.0008236662608396728,0.2,0.001,0.1735491156578064,-5.41194441318512,,
