rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/std,train/loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
928.24,5422.3174,261,46,2882,753664,-1.849599859584123,0.0980224609375,0.2,2920,0.5756485462188721,0.009059754,0.0003,0.002067620551406435,0.3850592076778412,4427.36572265625,79775.58948230743,,
922.1,4621.875,261,47,2946,770048,-1.8492940002121032,0.08765869140625,0.2,2930,0.35525596141815186,0.0088791745,0.0003,0.001504448810374015,0.3851146399974823,6338.79541015625,129554.2065793991,,
954.68,4964.5664,261,48,3010,786432,-1.8493592091836035,0.12772216796875,0.2,2940,0.620720237493515,0.012043117,0.0003,0.0008202771768992534,0.38504284620285034,80124.46875,441053.39254341123,,
,,,,,800000,-1.84929456776008,0.129119873046875,0.2,2950,0.5291637182235718,0.011546955,0.0003,0.0011015460740964045,0.38516515493392944,4039.959716796875,13577.13543624878,414.37,-15318.9873046875
922.31,3285.5884,254,49,3155,802816,,,,,,,,,,,,,
886.99,1887.3885,254,50,3217,819200,-1.8496465778909623,0.122381591796875,0.2,2960,0.31831300258636475,0.011497881,0.0003,0.003034190544713056,0.38510486483573914,383013.875,267672.12960586546,,
907.44,1108.4703,254,51,3283,835584,-1.8483646592125296,0.122625732421875,0.2,2970,0.5452527403831482,0.010133497,0.0003,-0.000900946594447305,0.3849048912525177,508421.03125,974667.6727733612,,
935.39,1761.3096,254,52,3347,851968,-1.8480318704620005,0.150799560546875,0.2,2980,0.6990809142589569,0.013087979,0.0003,0.00190194500501093,0.38504454493522644,1647.1251220703125,766431.3243770599,,
918.63,2289.757,254,53,3411,868352,-1.8475527963601053,0.1166015625,0.2,2990,0.6333761513233185,0.010373063,0.0003,0.0006450702623624239,0.38474708795547485,5390.00830078125,15654.844079589844,,
915.02,1707.5845,254,54,3475,884736,-1.8462687489576637,0.103857421875,0.2,3000,0.7737924158573151,0.009746449,0.0003,-0.0008410235937844846,0.38481223583221436,6471.87744140625,18223.965923690797,,
952.32,1831.9113,254,55,3541,901120,-1.844990303181112,0.102362060546875,0.2,3010,0.6499535143375397,0.008923941,0.0003,0.0029796686798363226,0.38443806767463684,2470.134765625,141502.60396518707,,
998.54,4158.1157,254,56,3606,917504,-1.842025851458311,0.101123046875,0.2,3020,0.6638116240501404,0.009456084,0.0003,0.0007207524409750477,0.38426119089126587,2256.47021484375,211714.72552757262,,
996.6,5201.2534,254,57,3671,933888,-1.8399577780626715,0.1028076171875,0.2,3030,0.8346901088953018,0.0093222605,0.0003,0.0024118165779327683,0.3840506076812744,1959.2393798828125,19133.968532562256,,
1013.29,6465.072,254,58,3736,950272,-1.8371463296934962,0.108050537109375,0.2,3040,0.8299988657236099,0.009824049,0.0003,0.00044313181624602296,0.3836687207221985,3452.591796875,13682.030334472656,,
999.29,6385.62,254,59,3800,966656,-1.8336034504696728,0.095867919921875,0.2,3050,0.7732500433921814,0.008729932,0.0003,-0.0003596409949750523,0.38342559337615967,2454.080322265625,14017.780602645875,,
1059.05,6666.851,254,60,3866,983040,-1.8311536954715848,0.095843505859375,0.2,3060,0.5357410609722137,0.009812361,0.0003,0.0016416531497270626,0.38323912024497986,2528.988037109375,15013.75280342102,,
1059.63,7008.931,254,61,3931,999424,-1.8317076394334435,0.10986328125,0.2,3070,0.4648013710975647,0.011496998,0.0003,0.003846762303965079,0.3835621476173401,317721.40625,240428.42340965272,,
1067.98,7094.3623,254,62,3994,1015808,-1.833509062975645,0.09896240234375,0.2,3080,0.7803049385547638,0.009163542,0.0003,0.0017110654216594412,0.3835410177707672,7956.68017578125,17509.79732761383,,
1060.42,7042.513,254,63,4060,1032192,-1.8303152649663388,0.09578857421875,0.2,3090,0.47112518548965454,0.008647827,0.0003,-0.00018961075220431668,0.3829127550125122,2951.48291015625,13194.305569648743,,
1080.66,7322.4663,254,64,4124,1048576,-1.8254859370179475,0.09046630859375,0.2,3100,0.49555492401123047,0.008524173,0.0003,-0.0007599184715218144,0.38263463973999023,2622.99658203125,12945.265119934082,,
1118.21,7801.7256,254,65,4190,1064960,-1.824214899353683,0.09202880859375,0.2,3110,0.5609354078769684,0.008344311,0.0003,-0.002330912928118778,0.38265591859817505,2743.77685546875,13773.43241519928,,
1079.77,7984.985,254,66,4252,1081344,-1.8232098734006286,0.105816650390625,0.2,3120,0.6128387451171875,0.0096189445,0.0003,-0.00013743738145421958,0.38241496682167053,1573.500244140625,10518.923826694489,,
1035.91,7843.3345,254,67,4315,1097728,-1.8218007016927005,0.112103271484375,0.2,3130,0.6135008335113525,0.009751158,0.0003,6.554707624673028e-05,0.3824341297149658,2599.159912109375,14271.318370437622,,
1060.22,8119.0596,254,68,4380,1114112,-1.822377230692655,0.11636962890625,0.2,3140,0.3757135272026062,0.0104436455,0.0003,0.00035940907837357373,0.38246792554855347,5830.17138671875,15449.762665367127,,
1055.63,8204.539,254,69,4445,1130496,-1.8210720701143146,0.10269775390625,0.2,3150,0.6608939170837402,0.009518703,0.0003,0.0013320456915607791,0.38218265771865845,3752.329345703125,10677.334600925446,,
1090.19,8464.95,254,70,4508,1146880,-1.8185353751294315,0.111492919921875,0.2,3160,0.6359739303588867,0.009912072,0.0003,0.0018760365521302447,0.38198912143707275,1569.695556640625,15150.691389846801,,
1139.03,8957.018,254,71,4573,1163264,-1.816351712681353,0.09881591796875,0.2,3170,0.6097679734230042,0.00941894,0.0003,-0.0011095053126155107,0.38181373476982117,3005.25732421875,11751.870076560974,,
1113.81,8656.871,254,72,4639,1179648,-1.8146306461654604,0.108441162109375,0.2,3180,0.6475175321102142,0.010102909,0.0003,5.939964557910571e-05,0.381700336933136,1411.9033203125,10981.485013961792,,
