time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/loss,train/explained_variance,train/std,train/policy_gradient_loss,train/value_loss,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
3852,1347.6177,306,36,301.0,1179648,691.7957153320312,0.2232799530029297,0.831735372543335,0.003993707907966382,6999.497468614578,0.2,-4.924819163419306,0.001,0.031359196,0.3026092529296875,350,,
3960,1636.0686,306,37,301.0,1212416,911.523193359375,0.21667587757110596,0.8301776647567749,0.0036295498199251596,7801.227404165268,0.2,-4.916684338264167,0.001,0.027074683,0.2818359375,360,,
4068,1917.943,306,38,301.0,1245184,4319.37255859375,0.3009864091873169,0.8270246982574463,0.0016209494624490617,8024.703516244888,0.2,-4.909015582315623,0.001,0.024358891,0.25257568359375,370,,
4176,1570.3542,306,39,301.0,1277952,3974.636962890625,0.32852786779403687,0.8217416405677795,0.005082231949813831,10884.276855754852,0.2,-4.884985721111297,0.001,0.027545996,0.2795745849609375,380,,
4283,1771.3966,305,40,301.0,1310720,1312.169677734375,0.3197662830352783,0.8176864981651306,0.001238310203234505,9076.065522050858,0.2,-4.867776610516012,0.001,0.02560249,0.2612335205078125,390,,
4391,2082.768,305,41,301.0,1343488,4033.3466796875,0.3967137336730957,0.8138031363487244,0.0028730598407264553,9281.114357995986,0.2,-4.844120554439724,0.001,0.024909923,0.25599365234375,400,,
4499,2106.7727,305,42,301.0,1376256,1096.1263427734375,0.33740729093551636,0.8065738677978516,0.0032955749114989886,11526.356300449372,0.2,-4.8166599933058025,0.001,0.024731714,0.2533966064453125,410,,
4607,2105.3162,305,43,301.0,1409024,3535.551513671875,0.35022109746932983,0.8063016533851624,0.0052203352909600655,11944.932312250137,0.2,-4.804163563810289,0.001,0.024750717,0.265313720703125,420,,
4715,2565.7798,305,44,299.87,1441792,1214.199462890625,0.43337661027908325,0.8014954328536987,0.0024746234145823108,11512.98090453148,0.2,-4.790457491390407,0.001,0.023599748,0.2431396484375,430,,
4822,2558.061,305,45,301.0,1474560,7062.90185546875,0.4095187783241272,0.7968294620513916,0.0038290287850031744,14424.068367099762,0.2,-4.766088051535189,0.001,0.021955037,0.236669921875,440,,
4931,2710.1428,305,46,301.0,1507328,8979.63671875,0.41037100553512573,0.7959244847297668,0.004414571593179062,15078.4071662426,0.2,-4.756062884815037,0.001,0.023922842,0.2469970703125,450,,
5040,2597.229,305,47,299.08,1540096,1337.25146484375,0.4692840576171875,0.791311502456665,0.0029450264388287905,14647.161780166625,0.2,-4.737874020822346,0.001,0.022684816,0.238519287109375,460,,
5149,2712.0378,305,48,301.0,1572864,6005.24072265625,0.40866702795028687,0.7868326902389526,0.005341447793125553,15815.156709861756,0.2,-4.716707124374807,0.001,0.022961905,0.25113525390625,470,,
,,,,,1600000,3015.812255859375,0.42486846446990967,0.780231237411499,0.0045432713763148055,15507.928011989594,0.2,-4.684694375284016,0.001,0.02350318,0.2524932861328125,480,298.47,5285.890625
5329,3166.478,301,49,301.0,1605632,,,,,,,,,,,,,
5437,3436.9172,301,50,301.0,1638400,4178.31201171875,0.42614424228668213,0.7768266201019287,0.005934880127051656,18930.516470813753,0.2,-4.6661054722964765,0.001,0.025158022,0.265325927734375,490,,
5545,3441.2993,301,51,298.51,1671168,2336.272705078125,0.44949787855148315,0.7735723257064819,0.0044068398878152944,20013.146487045287,0.2,-4.647335223294794,0.001,0.02367304,0.250860595703125,500,,
5653,3310.0757,301,52,301.0,1703936,2494.41650390625,0.4114235043525696,0.7688886523246765,0.005651733106060419,21791.09877061844,0.2,-4.62640466503799,0.001,0.026276303,0.2743927001953125,510,,
5761,3808.1338,301,53,301.0,1736704,4093.8291015625,0.432354211807251,0.7629715204238892,0.0050471433676648305,21944.099833011627,0.2,-4.598206170089543,0.001,0.02410733,0.25247802734375,520,,
5869,3725.6194,301,54,301.0,1769472,4449.89404296875,0.4540560841560364,0.7598040103912354,0.0058888422565814835,23583.388350963593,0.2,-4.575061007961631,0.001,0.025388269,0.263006591796875,530,,
5977,3880.441,301,55,299.76,1802240,11268.158203125,0.4808473587036133,0.7588135004043579,0.007593315691610769,24582.338062763214,0.2,-4.563827880658209,0.001,0.023898464,0.2487762451171875,540,,
6085,4026.3018,301,56,298.69,1835008,4301.033203125,0.48306602239608765,0.7538204193115234,0.006577317976370978,23441.818227481843,0.2,-4.546654842980206,0.001,0.027671482,0.2821563720703125,550,,
6193,4310.429,301,57,301.0,1867776,4719.330078125,0.5004679262638092,0.7486797571182251,0.00849520763745204,25367.374213027953,0.2,-4.519636266864836,0.001,0.027380783,0.28397216796875,560,,
6300,4357.4536,301,58,301.0,1900544,5845.74951171875,0.4488193988800049,0.7446262836456299,0.008758813167059998,28570.886966705322,0.2,-4.496797532588244,0.001,0.02583098,0.2697845458984375,570,,
6408,4553.4233,301,59,301.0,1933312,6809.333984375,0.4441272020339966,0.7401012778282166,0.008092850675211594,29969.16278190613,0.2,-4.4741781178861855,0.001,0.026134908,0.2719451904296875,580,,
6516,4591.8496,301,60,301.0,1966080,5286.33935546875,0.38646501302719116,0.7381647825241089,0.010303149517312704,31338.991287994384,0.2,-4.457886805012822,0.001,0.026742738,0.2776397705078125,590,,
6624,4550.9995,301,61,301.0,1998848,5265.54736328125,0.34695857763290405,0.7348283529281616,0.012321571501706785,32987.1552154541,0.2,-4.443075298704207,0.001,0.028796565,0.2933502197265625,600,,
6733,4355.3223,301,62,301.0,2031616,3514.144287109375,0.3515482544898987,0.7319766879081726,0.008558728433126817,30215.744780540466,0.2,-4.425310476496816,0.001,0.027138267,0.2780059814453125,610,,
