time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/learning_rate,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
274,688128,21,392.83,2506,4259.0,0.001401333248213632,0.006479573,40431.38969421387,13930.546875,0.05111083984375,2670,-1.9282105878926814,0.7791978418827057,0.0001,0.3926485776901245,0.2,,
274,720896,22,402.62,2625,4318.0,0.0007658243637706618,0.005711085,44700.96395568848,14087.6396484375,0.0438934326171875,2680,-1.927197272144258,0.7672780007123947,0.0001,0.3925388753414154,0.2,,
274,753664,23,402.8,2744,4167.0,0.00028393771299306536,0.0063848565,36877.642153167726,18774.302734375,0.051123046875,2690,-1.9261329313740134,0.8003435730934143,0.0001,0.3924578130245209,0.2,,
274,786432,24,401.38,2863,4131.0,0.00018636932682056795,0.0059305183,40136.22436599732,10313.35546875,0.044677734375,2700,-1.9253364833071829,0.7817885130643845,0.0001,0.39239200949668884,0.2,,
274,819200,25,408.66,2982,4448.0,0.0005707276388420724,0.006247215,42330.533255004884,12773.9638671875,0.0499267578125,2710,-1.9250190287828446,0.7678641825914383,0.0001,0.39239710569381714,0.2,,
274,851968,26,434.4,3102,5028.0,0.0006755314364454534,0.005408762,38698.270384979245,8675.693359375,0.04029541015625,2720,-1.9247368043288589,0.7929123789072037,0.0001,0.39233583211898804,0.2,,
274,884736,27,429.23,3222,4658.8887,0.0009038289981617709,0.0050189206,37458.278007507324,15362.037109375,0.031231689453125,2730,-1.9243551343679428,0.795692577958107,0.0001,0.3923203945159912,0.2,,
274,917504,28,398.62,3341,4094.911,5.24020979355555e-05,0.0056890612,44956.245341491696,16259.8046875,0.040203857421875,2740,-1.9238817470148206,0.7568837404251099,0.0001,0.39224493503570557,0.2,,
274,950272,29,409.87,3462,4120.0,0.0007574732869670697,0.005500571,37132.8886100769,10570.771484375,0.041900634765625,2750,-1.9230873689986765,0.777334913611412,0.0001,0.39215484261512756,0.2,,
274,983040,30,411.96,3584,4363.0,0.0005799357731120835,0.0048529757,40747.93415679932,11282.8427734375,0.0340850830078125,2760,-1.9223080075345933,0.783530205488205,0.0001,0.39210715889930725,0.2,,
274,1015808,31,374.91,3704,3686.7632,0.0008289706797313557,0.0058365287,42107.74562530518,11891.0947265625,0.049749755859375,2770,-1.9218178707174958,0.787350133061409,0.0001,0.39206215739250183,0.2,,
274,1048576,32,403.17,3825,4452.786,0.0001864641290922009,0.0056093414,47857.408853912355,10419.314453125,0.0427001953125,2780,-1.9213897758163512,0.7373208105564117,0.0001,0.39202287793159485,0.2,,
274,1081344,33,387.69,3944,4197.0,0.0012655570178139897,0.005797717,35018.45646820068,16921.119140625,0.0480499267578125,2790,-1.9209024393931031,0.7809931635856628,0.0001,0.39197584986686707,0.2,,
274,1114112,34,420.4,4064,4442.0,0.00040468379847879987,0.005543682,35347.52278289795,12405.529296875,0.04329833984375,2800,-1.9206870381720365,0.8012896031141281,0.0001,0.3919779360294342,0.2,,
274,1146880,35,393.42,4183,4038.0,0.0007232043069961946,0.0053332234,38025.81942367554,9522.1337890625,0.03616943359375,2810,-1.9200898413546383,0.7682977765798569,0.0001,0.3918338418006897,0.2,,
274,1179648,36,383.37,4299,3727.0,0.0005923752849867015,0.0058154464,35019.96129302979,10043.5302734375,0.0482025146484375,2820,-1.9190782124176622,0.8053168803453445,0.0001,0.3918027877807617,0.2,,
274,1212416,37,386.3,4417,3959.0,0.0004902773758658441,0.005415409,40107.50897674561,10480.0126953125,0.0364654541015625,2830,-1.9184646838344634,0.7783942669630051,0.0001,0.3917093276977539,0.2,,
274,1245184,38,419.45,4535,4794.142,7.575411718789838e-05,0.0059907055,43883.00663070679,13231.17578125,0.0465423583984375,2840,-1.9176191356033088,0.768655851483345,0.0001,0.3916488587856293,0.2,,
274,1277952,39,385.56,4655,3960.8518,0.0005053558405052172,0.0053308853,32828.448528289795,13175.3857421875,0.0395721435546875,2850,-1.916989993210882,0.8039359897375107,0.0001,0.3915790021419525,0.2,,
274,1310720,40,386.9,4776,3894.288,-0.0002576695187144651,0.005636435,43929.29780273438,13805.1005859375,0.03970947265625,2860,-1.9164592980407178,0.7511585354804993,0.0001,0.39155709743499756,0.2,,
274,1343488,41,406.19,4897,4292.8315,-0.0005391377213527449,0.005560122,37817.87854995728,12842.87109375,0.04312744140625,2870,-1.916164581477642,0.7760836333036423,0.0001,0.39151468873023987,0.2,,
274,1376256,42,413.78,5018,4532.987,0.0002603365919640055,0.005989411,40231.04427947998,9651.0,0.0449737548828125,2880,-1.9157601041719317,0.7678660452365875,0.0001,0.3914935290813446,0.2,,
274,1409024,43,440.35,5140,4816.667,-0.0001531631162379199,0.0064877924,40172.47924880982,9661.5361328125,0.05068359375,2890,-1.9157393286004663,0.7539283633232117,0.0001,0.39151740074157715,0.2,,
274,1441792,44,378.79,5257,3743.3748,-6.920531836840382e-05,0.0057944776,40222.861501312254,9511.1865234375,0.0407745361328125,2900,-1.9157707911916078,0.7435520589351654,0.0001,0.39149028062820435,0.2,,
274,1474560,45,382.27,5377,3857.7668,-0.00022244821984713782,0.006336419,39208.891960906985,12995.3759765625,0.0487579345703125,2910,-1.9154887022450566,0.7644198536872864,0.0001,0.3914659023284912,0.2,,
274,1507328,46,397.44,5497,4151.5396,-0.00025153191918434457,0.0050457455,35890.31877822876,10341.91015625,0.037188720703125,2920,-1.9152439197525382,0.7917900681495667,0.0001,0.3914470970630646,0.2,,
274,1540096,47,428.49,5618,4926.842,0.0006982141978369328,0.005488651,38675.46316986084,8866.3740234375,0.0410003662109375,2930,-1.9147340029478073,0.7608995884656906,0.0001,0.39136427640914917,0.2,,
274,1572864,48,418.41,5739,4600.0,0.0007708118740993086,0.0065727187,35270.32828216553,7258.71142578125,0.0558349609375,2940,-1.9140462965704501,0.7552357316017151,0.0001,0.3913145959377289,0.2,,
,1600000,,,,,0.00030609009618274283,0.0050703376,38901.042726898195,15779.1591796875,0.034747314453125,2950,-1.913409448415041,0.7517852187156677,0.0001,0.39123690128326416,0.2,403.7,3431.6689453125
267,1605632,49,398.01,6000,4102.0,,,,,,,,,,,,,
