time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/loss,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
1409024,1048.64,9772.06,286,4910,43,0.006472391,2890,7082.21533203125,23397.324773788452,0.2,0.0566162109375,-1.8918466638308018,0.0001,-0.00018479690597814625,0.38910871744155884,0.5793138444423676,,
1441792,1051.57,9930.057,287,5022,44,0.0065653687,2900,8183.779296875,24362.174007225036,0.2,0.0566314697265625,-1.890210744459182,0.0001,-0.0002115037439580192,0.3889313340187073,0.6354595422744751,,
1474560,1064.24,9995.874,287,5134,45,0.006816116,2910,5418.2177734375,24821.406464385986,0.2,0.0585723876953125,-1.8883210788946598,0.0001,-9.676742411102168e-05,0.3887445032596588,0.5759404003620148,,
1507328,1027.38,9335.68,286,5252,46,0.007498818,2920,8565.24609375,24159.60840702057,0.2,0.072100830078125,-1.8861570548266173,0.0001,0.0006863205850095256,0.3885093331336975,0.6753557026386261,,
1540096,1024.67,9161.093,286,5370,47,0.0065741898,2930,9651.31640625,23558.65903453827,0.2,0.0570953369140625,-1.8840452747419476,0.0001,0.0007532643714512233,0.38833990693092346,0.575553834438324,,
1572864,985.08,8792.456,286,5487,48,0.007052449,2940,5414.95361328125,25499.987653160097,0.2,0.06058349609375,-1.8820129399187864,0.0001,0.0002714730193474679,0.3881162703037262,0.5777983963489532,,
1600000,,,,,,0.007038343,2950,8289.568359375,26773.858564186095,0.2,0.05960693359375,-1.880934808962047,0.0001,3.676732267194893e-05,0.3881525993347168,0.5643799304962158,899.4,3653.2138671875
1605632,1015.25,9400.055,267,6008,49,,,,,,,,,,,,,
1638400,974.44,8823.582,267,6118,50,0.0075699794,2960,5189.07666015625,22907.77993526459,0.2,0.07235107421875,-1.880535021936521,0.0001,0.0012897741564302124,0.3880441188812256,0.638302206993103,,
1671168,997.5,9175.85,267,6238,51,0.006608521,2970,9667.79296875,26271.218166542054,0.2,0.0555572509765625,-1.8794679535087198,0.0001,0.00062579058103438,0.38794684410095215,0.6126527488231659,,
1703936,1029.95,9666.159,267,6363,52,0.006087958,2980,10314.5830078125,28267.951313781738,0.2,0.04703369140625,-1.8783996817655861,0.0001,0.001164097492073779,0.38783618807792664,0.5789242386817932,,
1736704,1057.05,10262.45,267,6487,53,0.0070253024,2990,6941.0126953125,23896.961648750304,0.2,0.0664337158203125,-1.8768527152948082,0.0001,0.001445644515024469,0.387641966342926,0.6194137334823608,,
1769472,1067.94,10495.492,267,6609,54,0.0056376625,3000,8819.236328125,23174.0190990448,0.2,0.0468597412109375,-1.8761079442687332,0.0001,0.0009246456822438632,0.38770097494125366,0.7109300494194031,,
1802240,1016.38,9792.449,267,6730,55,0.006148952,3010,9764.6982421875,29427.682831001282,0.2,0.04522705078125,-1.87558022942394,0.0001,0.00019511068167048505,0.3875088691711426,0.6087155640125275,,
1835008,985.34,9445.992,267,6848,56,0.005954184,3020,6523.2900390625,26324.57961616516,0.2,0.0500518798828125,-1.8742611362133175,0.0001,0.0005370612522710872,0.38744843006134033,0.5798992812633514,,
1867776,980.47,9527.591,268,6967,57,0.0069547133,3030,8942.9873046875,27982.2004737854,0.2,0.0617828369140625,-1.8739003924187272,0.0001,0.0007035713892037165,0.38744503259658813,0.5204527378082275,,
1900544,979.92,9392.634,268,7088,58,0.0063735475,3040,6120.13671875,27568.6784488678,0.2,0.0585906982421875,-1.873397424723953,0.0001,-0.00047611502286599717,0.3873533010482788,0.572897344827652,,
1933312,951.44,9041.088,268,7209,59,0.0064572766,3050,8504.2353515625,26449.146608543397,0.2,0.04954833984375,-1.8729254704434424,0.0001,0.0002761425552307628,0.38735732436180115,0.6221124529838562,,
1966080,919.61,8728.351,268,7332,60,0.0065360465,3060,5807.66015625,26930.660538864136,0.2,0.0570556640625,-1.871419422933832,0.0001,-0.0004271010149750509,0.38704949617385864,0.5087348222732544,,
1998848,913.72,8737.616,268,7449,61,0.006914823,3070,9960.9150390625,32965.2763174057,0.2,0.058355712890625,-1.8694992634933443,0.0001,-0.00021081202266941544,0.3869975805282593,0.5948335528373718,,
2031616,1007.96,9968.178,268,7568,62,0.0062809717,3080,7673.7607421875,26521.82117729187,0.2,0.0528472900390625,-1.8690308714751154,0.0001,6.135235398687655e-05,0.38694578409194946,0.5952899754047394,,
