time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/std,eval/mean_reward,eval/mean_ep_length
42,503.4408,3259,301.0,1376256,422,3156.8583188414573,0.0001,0.1085357666015625,-4.691303691640496,285.2770080566406,0.19379299879074097,0.2,410,0.007368605,0.0020151732557906143,0.7848795056343079,,
43,637.81116,3339,301.0,1409024,421,1234.5846283555031,0.0001,0.0953521728515625,-4.664851294644177,724.6046752929688,0.40282636880874634,0.2,420,0.008476652,-0.0012322447395945347,0.7788656949996948,,
44,641.01184,3420,301.0,1441792,421,3125.649528813362,0.0001,0.116619873046875,-4.641373237036168,312.974365234375,0.18396049737930298,0.2,430,0.009533681,0.001590930959855541,0.7753717303276062,,
45,600.9864,3500,301.0,1474560,421,2463.490965807438,0.0001,0.09896240234375,-4.616284650750458,276.2092590332031,0.25676143169403076,0.2,440,0.011532302,0.0015735131546080084,0.7690987586975098,,
46,612.538,3580,301.0,1507328,420,3164.2733026981355,0.0001,0.0901947021484375,-4.591999637149274,335.7124938964844,0.26034462451934814,0.2,450,0.007836216,0.0009534320794500672,0.765527606010437,,
47,718.5809,3660,301.0,1540096,420,1952.8367206573487,0.0001,0.097314453125,-4.5648459501564504,2824.48046875,0.28946810960769653,0.2,460,0.008317646,-0.0007489015851660952,0.7594847679138184,,
48,608.85065,3741,301.0,1572864,420,5706.110953855515,0.0001,0.120623779296875,-4.542068647965789,631.3289794921875,0.1477508544921875,0.2,470,0.00893837,0.0030537729326624687,0.7563372850418091,,
,,,,1600000,,3926.3632768630982,0.0001,0.0915313720703125,-4.528247382305563,672.7532348632812,0.22658997774124146,0.2,480,0.009926384,0.0037576621277366938,0.7545467019081116,594.2302856445312,301.0
49,545.4558,3872,301.0,1605632,414,,,,,,,,,,,,,
50,583.8925,3953,301.0,1638400,414,3219.1949306964875,0.0001,0.101953125,-4.515438927896321,520.7850952148438,0.289949893951416,0.2,490,0.010750414,0.0019500217477798286,0.7514296770095825,,
51,569.84357,4034,301.0,1671168,414,2855.4399346113205,0.0001,0.11640625,-4.493488920852542,440.20941162109375,0.22699421644210815,0.2,500,0.010650989,-0.0007624733767897851,0.747161328792572,,
52,553.1677,4115,301.0,1703936,414,2459.700798416138,0.0001,0.1088958740234375,-4.473795585148037,428.2623291015625,0.22570103406906128,0.2,510,0.0065656346,0.0016890484778286918,0.7438676357269287,,
53,586.9494,4196,301.0,1736704,413,1932.8809168815612,0.0001,0.0908416748046875,-4.452586015313864,423.0927429199219,0.3271055817604065,0.2,520,0.008048985,-0.0006674744335668948,0.7389998435974121,,
54,518.6327,4277,301.0,1769472,413,3081.2914939165116,0.0001,0.1046417236328125,-4.427353989519179,1621.0849609375,0.2805050015449524,0.2,530,0.0074189766,0.001533462143561337,0.7352202534675598,,
55,574.178,4358,301.0,1802240,413,2361.030533337593,0.0001,0.095233154296875,-4.404724175296724,592.7022094726562,0.2855073809623718,0.2,540,0.009063001,-0.0022324176031361274,0.7308508157730103,,
56,554.6152,4439,301.0,1835008,413,1996.0473155975342,0.0001,0.08734130859375,-4.383417612873018,516.8353271484375,0.31684839725494385,0.2,550,0.007898232,0.00018152927837036258,0.7269859313964844,,
57,638.5965,4520,301.0,1867776,413,1716.4279935479165,0.0001,0.0825958251953125,-4.356895696558058,454.52191162109375,0.3263394832611084,0.2,560,0.0065902434,0.0012136434500916947,0.7213737964630127,,
58,665.1152,4601,301.0,1900544,413,2957.0818292856216,0.0001,0.0930450439453125,-4.334126956760883,460.8149108886719,0.2949345111846924,0.2,570,0.0073480485,0.0019510027533669928,0.7176072001457214,,
59,690.23615,4682,301.0,1933312,412,4428.434264874459,0.0001,0.1498809814453125,-4.3156155938282605,4734.84814453125,0.2215113639831543,0.2,580,0.012765016,0.0024603458060482807,0.7155706882476807,,
60,800.7113,4764,301.0,1966080,412,2777.166763687134,0.0001,0.1158660888671875,-4.299067308567464,2591.9384765625,0.2947015166282654,0.2,590,0.0070797475,0.0032706160175621337,0.7116456031799316,,
61,710.0867,4845,301.0,1998848,412,3956.723435306549,0.0001,0.094781494140625,-4.278212827630341,3028.078125,0.21653074026107788,0.2,600,0.010594139,0.0027039467381200664,0.7081450819969177,,
62,752.0826,4926,301.0,2031616,412,2206.007868885994,0.0001,0.080645751953125,-4.25816471092403,535.1492309570312,0.34279531240463257,0.2,610,0.008502704,0.00017388850751558492,0.7046258449554443,,
