time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/std,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
135,8208,1114112,34,411.65,7761.6,6435.61669921875,0.3891006410121918,29512.839733457564,0.807603731751442,0.0001,0.2,0.0013579239578803027,0.008815246,2800,-1.8917122505023145,0.092034912109375,,
135,8455,1146880,35,427.96,8296.9,5479.72802734375,0.3889073133468628,32600.936187767984,0.7778508365154266,0.0001,0.2,0.000978724154356314,0.007964119,2810,-1.8898417697637342,0.0813140869140625,,
135,8701,1179648,36,409.33,7901.0986,5945.68994140625,0.38863369822502136,29424.03343129158,0.7933352291584015,0.0001,0.2,0.0004254894148971289,0.0076003084,2820,-1.8877515741041861,0.0770111083984375,,
135,8946,1212416,37,390.79,7420.7,4803.00927734375,0.3882052004337311,33468.45633556843,0.7584267109632492,0.0001,0.2,0.0015478690659705308,0.008570237,2830,-1.8841768661746756,0.0882232666015625,,
135,9192,1245184,38,419.85,7858.4,2328.345703125,0.388075590133667,38589.96025691032,0.761697918176651,0.0001,0.2,0.0008111029977271756,0.008792656,2840,-1.8812189224176108,0.08116455078125,,
135,9435,1277952,39,411.3,7769.7,6111.5244140625,0.38809627294540405,32791.164676952365,0.8086725920438766,0.0001,0.2,0.000856343427574302,0.008681241,2850,-1.8803064499166795,0.096942138671875,,
135,9683,1310720,40,410.8,7490.2,9438.0625,0.38793522119522095,34072.86284220219,0.8100700527429581,0.0001,0.2,-2.0275489748655674e-05,0.0071064234,2860,-1.8800066078896633,0.0609283447265625,,
135,9927,1343488,41,412.62,7473.3,2113.22216796875,0.38791486620903015,34554.306800460814,0.7910547852516174,0.0001,0.2,-0.0004646627350211929,0.007851651,2870,-1.8789173162193038,0.07000732421875,,
135,10172,1376256,42,397.9,7127.0,3255.855224609375,0.3878285586833954,31045.958324742318,0.8144070953130722,0.0001,0.2,0.0014573155183029486,0.008325731,2880,-1.8785479763522743,0.089166259765625,,
135,10417,1409024,43,421.38,7818.6,26900.5,0.387502521276474,30545.717367458343,0.797838568687439,0.0001,0.2,0.0010462538123988453,0.008102769,2890,-1.8766638653003611,0.0763458251953125,,
135,10663,1441792,44,397.57,7376.4,3185.3037109375,0.38723278045654297,28473.179639863967,0.7998641133308411,0.0001,0.2,0.0011071512308603814,0.008045467,2900,-1.873529985093046,0.0860107421875,,
135,10907,1474560,45,397.78,7223.2,3906.21875,0.3870426416397095,35581.677521681784,0.7779709994792938,0.0001,0.2,0.0004805429650559745,0.008476526,2910,-1.8710124021745287,0.0863555908203125,,
135,11149,1507328,46,381.7,7074.8,5031.91162109375,0.3870076537132263,35148.65004339218,0.7793049365282059,0.0001,0.2,0.0016809870645943191,0.007493592,2920,-1.8697688766056673,0.0822479248046875,,
135,11395,1540096,47,409.63,7860.3,4603.4697265625,0.3866482377052307,31776.496711444855,0.77003975212574,0.0001,0.2,0.000748504636646885,0.00866861,2930,-1.8678758259746246,0.0913848876953125,,
135,11641,1572864,48,410.04,7607.1,5723.71875,0.3865363895893097,31018.673461270333,0.7959363758563995,0.0001,0.2,-0.00011742580485361032,0.007567281,2940,-1.865177527733613,0.0736541748046875,,
,,1600000,,,,2992.29638671875,0.38637807965278625,33051.19015750885,0.7779066115617752,0.0001,0.2,0.0016170668473364457,0.007875111,2950,-1.8638441943563522,0.075738525390625,7182.28759765625,476.45
132,12085,1605632,49,409.81,7410.5283,,,,,,,,,,,,,
132,12331,1638400,50,413.36,7642.228,3799.099365234375,0.38607078790664673,32770.581862568855,0.7608828693628311,0.0001,0.2,0.0008793891889411043,0.007875282,2960,-1.861621708725579,0.0846282958984375,,
132,12579,1671168,51,412.86,7779.7,12564.0810546875,0.3859643340110779,40339.83792486191,0.7183350622653961,0.0001,0.2,0.0011506990179213973,0.0082235625,2970,-1.8592642694129609,0.0785980224609375,,
132,12829,1703936,52,417.83,7796.0,4550.84130859375,0.38567447662353516,38307.682879924774,0.7538911402225494,0.0001,0.2,0.0014529984080240866,0.008655003,2980,-1.8574540767469443,0.0820526123046875,,
132,13078,1736704,53,446.28,8916.3,17063.68359375,0.38559234142303467,40213.62644221783,0.7371070384979248,0.0001,0.2,0.0007852607626318786,0.0073679984,2990,-1.8552886237273924,0.073406982421875,,
132,13326,1769472,54,416.29,7850.8,4503.458984375,0.38525545597076416,35589.23694357872,0.7357026934623718,0.0001,0.2,0.001573042078399567,0.007971471,3000,-1.8533585378318094,0.08204345703125,,
132,13570,1802240,55,418.31,7831.4,2037.084228515625,0.3850823640823364,32581.199969696998,0.7351860404014587,0.0001,0.2,0.0005310410710649194,0.0071625286,3010,-1.8507576716481708,0.0668060302734375,,
132,13815,1835008,56,421.3,7910.6,4932.3037109375,0.384909063577652,33155.8631169796,0.7552266120910645,0.0001,0.2,0.0011875671047391733,0.007886814,3020,-1.8487957670586184,0.07669677734375,,
132,14062,1867776,57,403.64,7524.0,5340.845703125,0.384731650352478,31580.826962459087,0.7520196288824081,0.0001,0.2,0.0008693896010186109,0.007568689,3030,-1.846923449903261,0.0716949462890625,,
132,14308,1900544,58,414.84,7744.4,4621.826171875,0.3846469819545746,44860.27185819149,0.734593540430069,0.0001,0.2,0.0006272205785990082,0.007970541,3040,-1.845677120576147,0.0740447998046875,,
132,14552,1933312,59,368.03,6806.8,3983.744873046875,0.38455280661582947,33136.198259329794,0.7459000051021576,0.0001,0.2,0.0014792701555506938,0.007709787,3050,-1.8445729954517447,0.0774322509765625,,
132,14800,1966080,60,410.47,7849.4,9754.404296875,0.384371817111969,38499.303049397466,0.7223025560379028,0.0001,0.2,0.0006643582027095363,0.007708663,3060,-1.8433017261559144,0.078009033203125,,
132,15065,1998848,61,412.43,7828.9,2878.122314453125,0.38425764441490173,37238.8775932312,0.7357633411884308,0.0001,0.2,0.0012876103243343096,0.0071166055,3070,-1.841682829335332,0.0667449951171875,,
132,15322,2031616,62,418.26,8070.0,20578.177734375,0.3840477168560028,28990.50562534332,0.7658618986606598,0.0001,0.2,0.0015402316484141921,0.00804723,3080,-1.8399914971552789,0.0838226318359375,,
