time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
66,321,1081344,7955.003,866.58,3366,0.2,-0.0005124061986862216,0.7010968923568726,3120,9846.2373046875,0.0003,-1.9211028128862382,0.03526611328125,0.39203527569770813,0.005005449,28703.844604492188,,
67,321,1097728,8180.3486,872.93,3416,0.2,-0.00012184508668724447,0.6912442147731781,3130,8140.02978515625,0.0003,-1.9207392618060113,0.0253173828125,0.39199692010879517,0.0044949204,25899.1677734375,,
68,321,1114112,7804.1357,847.09,3466,0.2,0.00036667237000074235,0.698132187128067,3140,9789.5673828125,0.0003,-1.9202417761087418,0.03228759765625,0.3919360637664795,0.0049653063,25608.467236328124,,
69,321,1130496,7828.5654,839.78,3517,0.2,0.0006877634237753228,0.6618647277355194,3150,11274.701171875,0.0003,-1.9197519153356553,0.027679443359375,0.39190250635147095,0.0042311745,34005.13349609375,,
70,321,1146880,7459.4688,808.12,3568,0.2,0.0003529505163896829,0.6823647916316986,3160,7952.35205078125,0.0003,-1.9194282442331314,0.0314697265625,0.3918798267841339,0.0049656103,28766.787036132813,,
71,321,1163264,7562.7754,821.58,3620,0.2,0.00010059470878331922,0.6880326867103577,3170,9053.8857421875,0.0003,-1.919341254234314,0.056298828125,0.3918852210044861,0.0073773507,35094.66845703125,,
72,321,1179648,7445.9927,817.0,3671,0.2,-0.00032020222060964444,0.6660680770874023,3180,6888.3017578125,0.0003,-1.9193265035748481,0.01944580078125,0.3918667435646057,0.0040059704,24847.43311767578,,
73,321,1196032,7534.1357,819.51,3722,0.2,0.0014404482048121282,0.6187884211540222,3190,7655.35693359375,0.0003,-1.9191557258367538,0.040875244140625,0.391863077878952,0.0058230096,30124.069860839845,,
74,321,1212416,7296.399,804.99,3774,0.2,-0.0017135205984232017,0.6815211772918701,3200,9865.18359375,0.0003,-1.9190790429711342,0.041229248046875,0.3918455243110657,0.0054209176,32821.975415039065,,
75,321,1228800,7616.6943,821.52,3824,0.2,-0.0007150804849516135,0.6502124667167664,3210,8996.4912109375,0.0003,-1.91887197047472,0.0392578125,0.3918280005455017,0.006084287,32215.01396484375,,
76,321,1245184,7491.8765,818.42,3875,0.2,-0.0010796153015689923,0.7449851036071777,3220,7633.978515625,0.0003,-1.9186762660741805,0.038702392578125,0.3918050527572632,0.005872071,28283.90594482422,,
77,321,1261568,7660.2275,830.43,3927,0.2,0.0007938388385809958,0.7042792737483978,3230,10162.58203125,0.0003,-1.918558084964752,0.04244384765625,0.39181071519851685,0.0059142006,31444.59230957031,,
78,321,1277952,7918.8477,850.92,3978,0.2,-0.0008735361610888503,0.7725963294506073,3240,6098.09228515625,0.0003,-1.918537013232708,0.0347900390625,0.39178648591041565,0.005363399,23947.32294921875,,
79,321,1294336,8027.3906,858.93,4028,0.2,-0.0010334942737245001,0.7676132470369339,3250,6453.85546875,0.0003,-1.9180349439382554,0.043170166015625,0.39171862602233887,0.005477998,25347.891979980468,,
80,321,1310720,7975.9795,853.28,4080,0.2,0.0010459373981575482,0.7071991264820099,3260,9661.623046875,0.0003,-1.9174162656068803,0.0438232421875,0.3916768431663513,0.006340009,28768.421252441407,,
81,321,1327104,8541.822,897.1,4131,0.2,0.00025849815865512936,0.7318637669086456,3270,8363.9189453125,0.0003,-1.916737051308155,0.03831787109375,0.3915631175041199,0.0055883657,28200.974536132813,,
82,321,1343488,8543.7,890.86,4183,0.2,-0.00040448737563565375,0.7521315962076187,3280,7238.46875,0.0003,-1.9155870094895362,0.03546142578125,0.39147132635116577,0.0058081993,27925.835083007812,,
83,321,1359872,8693.605,908.15,4235,0.2,0.0006343997971271165,0.7388221621513367,3290,5893.4375,0.0003,-1.9147305876016616,0.0337890625,0.3913717567920685,0.005320287,23428.743786621093,,
84,320,1376256,9344.687,959.01,4288,0.2,6.2107146368362e-05,0.7483802139759064,3300,6758.23388671875,0.0003,-1.9139981910586357,0.028045654296875,0.3913489878177643,0.0049948143,22723.840490722658,,
85,320,1392640,9723.238,1001.57,4342,0.2,0.00041476937076367904,0.8003358542919159,3310,6552.91748046875,0.0003,-1.9141202554106713,0.048895263671875,0.3914034366607666,0.0066726026,21090.946643066407,,
86,320,1409024,10155.072,1029.25,4394,0.2,-0.0003138106127153151,0.7815871983766556,3320,7206.1533203125,0.0003,-1.914582359790802,0.03892822265625,0.39141249656677246,0.0059577203,27346.526928710937,,
87,320,1425408,10404.709,1046.58,4447,0.2,-0.000183414327329956,0.6605630218982697,3330,7406.02490234375,0.0003,-1.9141621604561805,0.028155517578125,0.391311913728714,0.005775161,28985.70148925781,,
88,320,1441792,10504.813,1050.23,4500,0.2,0.0007126241471269168,0.7395066022872925,3340,10495.419921875,0.0003,-1.9134293362498282,0.0556396484375,0.3912985920906067,0.0070107304,30783.18781738281,,
89,320,1458176,10188.534,1017.59,4552,0.2,-9.65734216151759e-06,0.7105762660503387,3350,9196.896484375,0.0003,-1.912980669736862,0.05848388671875,0.3911975026130676,0.00757486,32648.548901367187,,
90,320,1474560,10003.544,1000.23,4605,0.2,-0.00030079695497988725,0.7093646824359894,3360,10651.4775390625,0.0003,-1.9120831206440925,0.047479248046875,0.39112886786460876,0.006799638,33829.52915039063,,
91,320,1490944,10108.787,994.37,4658,0.2,0.0005026263388572261,0.7056059539318085,3370,7695.6171875,0.0003,-1.911574438214302,0.04241943359375,0.39111316204071045,0.0058782063,29930.88200683594,,
92,319,1507328,9432.767,949.71,4713,0.2,-0.000611925565317506,0.7182228565216064,3380,8589.2021484375,0.0003,-1.911466509103775,0.035711669921875,0.3910965919494629,0.0052280906,29510.671496582032,,
93,319,1523712,8520.867,887.3,4764,0.2,0.0003465203262749128,0.6740333735942841,3390,11147.0517578125,0.0003,-1.9111917927861213,0.032470703125,0.39104753732681274,0.006410575,39224.26218261719,,
94,319,1540096,8721.439,903.58,4817,0.2,-0.0006684594140097033,0.6121538281440735,3400,12609.3037109375,0.0003,-1.9107383146882058,0.024127197265625,0.3910212516784668,0.0041109766,36767.19982910156,,
95,319,1556480,8153.0757,872.87,4869,0.2,-0.0003026304533705115,0.6137281358242035,3410,7869.80224609375,0.0003,-1.9104537919163704,0.028717041015625,0.39099225401878357,0.0055793826,30652.325073242188,,
96,319,1572864,7621.3174,832.49,4919,0.2,0.00022540205536643044,0.680925577878952,3420,10503.2705078125,0.0003,-1.910349863767624,0.044757080078125,0.39101484417915344,0.005756791,34511.9875,,
97,319,1589248,7732.587,841.52,4971,0.2,0.0003849412183626555,0.5673851668834686,3430,12147.37109375,0.0003,-1.9104165077209472,0.0362548828125,0.3909866511821747,0.0064634113,35929.9994140625,,
,,1600000,,,,0.2,0.0006755898706614971,0.6637461185455322,3440,8024.19970703125,0.0003,-1.9101664289832114,0.041741943359375,0.3909870684146881,0.0066767326,35001.34223632813,3649.199462890625,632.49
98,313,1605632,7884.1714,865.92,5128,,,,,,,,,,,,,
99,313,1622016,8260.095,896.73,5181,0.2,0.0009842277271673084,0.5796673595905304,3450,11356.32421875,0.0003,-1.9101005777716638,0.02908935546875,0.39096999168395996,0.0047985637,32869.195837402345,,
