rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/std,train/clip_fraction,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
294.21,103.0,3144,46,479,1507328,0.2,0.7683873772621155,-0.0001282990790059557,-1.9094568647444248,2920,976.732563996315,151.85145568847656,0.3908286690711975,0.0137298583984375,0.0001,0.003166284,,
298.73,85.0,3210,47,479,1540096,0.2,0.8513709008693695,-0.00021268769924063236,-1.9096001986414195,2930,1597.812459564209,129.78622436523438,0.39084845781326294,0.005877685546875,0.0001,0.0023268736,,
291.86,14.0,3273,48,480,1572864,0.2,0.7988032549619675,0.00015599109428876545,-1.909724520891905,2940,1520.9685641288756,166.5989990234375,0.39085257053375244,0.0269927978515625,0.0001,0.003487337,,
,,,,,1600000,0.2,0.7943975776433945,-0.0012825068151869345,-1.909668942913413,2950,390.07727006673815,19.58610725402832,0.3908373713493347,0.0849578857421875,0.0001,0.00858851,-195.0,293.89
296.85,94.0,3396,49,472,1605632,,,,,,,,,,,,,
292.25,87.0,3462,50,473,1638400,0.2,0.7890454083681107,-0.00013935257211414865,-1.9096274450421333,2960,2617.991754055023,689.4114379882812,0.39084601402282715,0.0545745849609375,0.0001,0.0052279807,,
299.12,124.0,3529,51,473,1671168,0.2,0.8374091237783432,-0.00011286111857771175,-1.9096383951604365,2970,2239.667650985718,163.17662048339844,0.39083483815193176,0.0751190185546875,0.0001,0.010245774,,
301.47,101.0,3594,52,473,1703936,0.2,0.7684292197227478,-0.0008037626046643708,-1.9096167966723443,2980,1856.6466345787048,319.15252685546875,0.3908444941043854,0.0162322998046875,0.0001,0.0024988991,,
301.52,51.0,3659,53,474,1736704,0.2,0.8815753161907196,-0.0002261758197164454,-1.9091213628649712,2990,1284.2099280834198,146.93490600585938,0.3907017707824707,0.019818115234375,0.0001,0.0049897823,,
295.01,56.0,3726,54,474,1769472,0.2,0.8607547879219055,-0.001521250904261251,-1.9083961833268404,3000,457.7075495094061,137.11412048339844,0.39073529839515686,0.021905517578125,0.0001,0.004170497,,
291.81,93.0,3792,55,475,1802240,0.2,0.8597002029418945,-0.0005248019842838403,-1.9084613807499409,3010,1520.6475826263427,126.27333068847656,0.3906846046447754,0.035028076171875,0.0001,0.00671636,,
297.24,61.0,3857,56,475,1835008,0.2,0.7986173182725906,-0.00046179099181244967,-1.9079228296875954,3020,3892.1845403671264,1054.36962890625,0.39066699147224426,0.0327423095703125,0.0001,0.0048427097,,
293.27,66.0,3923,57,476,1867776,0.2,0.7269327044487,-0.0014217130301403813,-1.90805121101439,3030,1484.5238758087157,186.3497314453125,0.39071890711784363,0.0286376953125,0.0001,0.0051532644,,
295.39,82.0,3987,58,476,1900544,0.2,0.7859174162149429,-0.00012013718587695621,-1.9082953605800868,3040,1730.77312707901,266.4720153808594,0.3907061815261841,0.0336334228515625,0.0001,0.004026236,,
298.06,26.0,4051,59,477,1933312,0.2,0.8069703131914139,-0.001639756860822672,-1.907804599404335,3050,1315.8946767807006,273.0294189453125,0.39062345027923584,0.005731201171875,0.0001,0.0022009497,,
297.76,0.0,4114,60,477,1966080,0.2,0.7451657950878143,-0.0011948320339797646,-1.907459381967783,3060,243.16546100080012,31.626628875732422,0.39058250188827515,0.0172821044921875,0.0001,0.0033241026,,
289.5,-7.0,4178,61,478,1998848,0.2,0.1403246521949768,0.0016733727003156672,-1.896059474349022,3070,2.2687764637172223,0.40599364042282104,0.3885592818260193,0.204766845703125,0.0001,0.008987688,,
302.92,61.0,4242,62,478,2031616,0.2,0.8009517043828964,0.002199920506609487,-1.8854510869830847,3080,953.9731937766076,61.047462463378906,0.38854360580444336,0.2482757568359375,0.0001,0.009020787,,
