rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/value_loss,train/std,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
639.45,185,48,1572864,8744.517,8484,0.0001,33150.996249961856,0.3905905485153198,0.0548370361328125,0.0064391494,0.2,2940,-1.9065757032250985,0.6615303158760071,5003.7099609375,0.0005925625349391339,,
,,,1600000,,,0.0001,32828.26286840439,0.39037200808525085,0.0490631103515625,0.00559281,0.2,2950,-1.904342493135482,0.6978869140148163,3619.733642578125,0.00018663721125449227,428.95,-1058.1324462890625
646.19,181,49,1605632,8568.895,8842,,,,,,,,,,,,,
619.71,181,50,1638400,8048.4043,9024,0.0001,33074.921702480315,0.39037835597991943,0.070556640625,0.0075638965,0.2,2960,-1.9030492002842947,0.7254276871681213,4227.24462890625,-0.00022630419357483333,,
635.15,180,51,1671168,8614.622,9280,0.0001,35627.37652263641,0.3903467059135437,0.061651611328125,0.00668924,0.2,2970,-1.90298418502789,0.6763401329517365,9190.0849609375,0.0004281139334125328,,
671.29,179,52,1703936,9443.757,9468,0.0001,35679.56244449616,0.39031654596328735,0.0606903076171875,0.0068458654,0.2,2980,-1.902689502085559,0.6553272902965546,7844.1572265625,-0.0007272379339838154,,
680.8,179,53,1736704,9650.384,9651,0.0001,27893.08102016449,0.3902212381362915,0.0513824462890625,0.0061688945,0.2,2990,-1.9019740094663575,0.7045573592185974,4270.07568359375,0.00017686827331999666,,
716.1,179,54,1769472,10204.697,9833,0.0001,36338.29433803559,0.39013737440109253,0.0473052978515625,0.0052918424,0.2,3000,-1.901093933591619,0.7009558081626892,7643.69921875,0.0002514267191145336,,
718.71,179,55,1802240,10234.2295,10017,0.0001,26565.57071881294,0.38988107442855835,0.0630523681640625,0.0068992423,0.2,3010,-1.8995062098605557,0.7254927158355713,4833.4033203125,-0.0001109123909373011,,
736.72,179,56,1835008,10983.117,10198,0.0001,31703.355972766876,0.38985157012939453,0.0477508544921875,0.005784752,0.2,3020,-1.8978426823858172,0.7647431641817093,6180.51318359375,2.7166317397586682e-05,,
688.24,179,57,1867776,10250.571,10381,0.0001,27017.32629480362,0.38963747024536133,0.0569915771484375,0.0064912527,0.2,3030,-1.8968269818229602,0.7692652195692062,5476.10546875,0.00020876731177850162,,
623.36,179,58,1900544,8536.303,10559,0.0001,32567.506574630737,0.38934990763664246,0.0561279296875,0.0064466437,0.2,3040,-1.8942124786786736,0.6786395013332367,9753.7197265625,2.733202688887104e-05,,
658.65,180,59,1933312,9210.946,10738,0.0001,38167.353940963745,0.3893303871154785,0.0805999755859375,0.007970011,0.2,3050,-1.8925417834892868,0.7035751342773438,47763.46875,0.0002543475783568283,,
684.68,180,60,1966080,10158.789,10917,0.0001,31251.68967657089,0.38924261927604675,0.0446685791015625,0.005708644,0.2,3060,-1.892055857134983,0.7357425093650818,7121.23095703125,0.00038237755445607035,,
672.59,180,61,1998848,9916.9795,11097,0.0001,40781.03538694382,0.3891586363315582,0.0623748779296875,0.0067873597,0.2,3070,-1.891213591909036,0.6882858276367188,11965.9736328125,-0.000870370204415849,,
681.04,180,62,2031616,9584.73,11276,0.0001,36883.512300682065,0.38900476694107056,0.0718963623046875,0.0077749905,0.2,3080,-1.8899961594259367,0.6649239957332611,10177.8974609375,0.0009295846764416638,,
