time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/std,eval/mean_reward,eval/mean_ep_length
7967,508.40488,357,301.0,2850816,87,0.0001,3557.4419350504877,860,-4.307940177619457,491.96527099609375,0.28073936700820923,0.004484783,0.0256988525390625,0.2,-0.0009558711049066915,0.7156480550765991,,
8061,485.13083,357,301.0,2883584,88,0.0001,4244.2223212242125,870,-4.295345887541771,2174.171630859375,0.16111505031585693,0.0077262316,0.0758941650390625,0.2,-0.0008005227722151176,0.7139735817909241,,
8154,478.70172,357,301.0,2916352,89,0.0001,2115.8053205251695,880,-4.28326023183763,880.5040283203125,0.31611472368240356,0.0054384554,0.040179443359375,0.2,-0.0008481087045311142,0.7116672992706299,,
8247,434.04153,357,301.0,2949120,90,0.0001,2983.28537170887,890,-4.271679179742932,1092.772705078125,0.34240537881851196,0.00576324,0.0545989990234375,0.2,-0.0020332701508777975,0.7094941139221191,,
8340,394.14117,357,301.0,2981888,91,0.0001,1606.683825790882,900,-4.256440433301032,1183.89306640625,0.4483761191368103,0.0053292355,0.0413177490234375,0.2,-0.0023086940771918306,0.7066290378570557,,
8433,488.68735,357,301.0,3014656,92,0.0001,1619.3856144070626,910,-4.241005002707243,430.2212219238281,0.2852550148963928,0.0072849654,0.0717620849609375,0.2,-0.0027232330353854197,0.7039781808853149,,
8527,547.71387,357,301.0,3047424,93,0.0001,2668.271545112133,920,-4.228586089983582,360.1097717285156,0.3062404990196228,0.0063279434,0.0568450927734375,0.2,-0.00143604622762723,0.7021613717079163,,
8620,475.773,357,301.0,3080192,94,0.0001,4625.866344833374,930,-4.219541565701365,486.1740417480469,0.20172089338302612,0.0065644984,0.071478271484375,0.2,-0.0020453443771202727,0.7005698680877686,,
8714,470.35278,357,301.0,3112960,95,0.0001,2941.5123040437697,940,-4.203573863580823,385.61456298828125,0.23508095741271973,0.0051903487,0.0446807861328125,0.2,-0.000549549694687812,0.6966761350631714,,
8809,521.9525,357,301.0,3145728,96,0.0001,2252.5166578292847,950,-4.183281802758574,2175.622314453125,0.31929171085357666,0.006689624,0.061529541015625,0.2,-0.0032271796114855533,0.6942101716995239,,
8902,495.1628,357,301.0,3178496,97,0.0001,2749.839974415302,960,-4.173230195231736,407.3824157714844,0.29124343395233154,0.005106078,0.0378936767578125,0.2,-3.387539368304715e-05,0.6928760409355164,,
,,,,3200000,,0.0001,3803.1321988105774,970,-4.164319982379675,1362.284423828125,0.26091355085372925,0.0075876615,0.0716949462890625,0.2,-0.0029409107958144887,0.690399706363678,-22.912097930908203,301.0
9050,505.68793,354,301.0,3211264,98,,,,,,,,,,,,,
9144,541.93365,354,301.0,3244032,99,0.0001,3224.002468538284,980,-4.147469315305353,446.6786193847656,0.34267085790634155,0.006496815,0.0610015869140625,0.2,-0.002472730875661,0.6875901222229004,,
9238,498.04474,354,301.0,3276800,100,0.0001,3845.714326930046,990,-4.136395395733416,416.316650390625,0.2332867980003357,0.007542732,0.063397216796875,0.2,0.0017976893149352692,0.686406135559082,,
9331,428.09882,354,301.0,3309568,101,0.0001,3864.2355621337892,1000,-4.129291476123035,4399.7080078125,0.18901103734970093,0.0062276805,0.060406494140625,0.2,-0.002139148320543427,0.6845323443412781,,
9424,586.4932,354,301.0,3342336,102,0.0001,1830.128931570053,1010,-4.109129063226282,3147.286865234375,0.3437216877937317,0.005919409,0.0461700439453125,0.2,-0.001876663837219894,0.6799283623695374,,
9517,509.38718,354,301.0,3375104,103,0.0001,4603.883520555496,1020,-4.094956214539707,5816.42333984375,0.23972386121749878,0.0068236766,0.04130859375,0.2,-0.0003595956523440691,0.67924964427948,,
9610,590.491,354,301.0,3407872,104,0.0001,2798.3851260185243,1030,-4.076631853170693,345.0854797363281,0.29668891429901123,0.0058446685,0.0450592041015625,0.2,3.1902767204883276e-06,0.6743758320808411,,
9704,495.17645,354,301.0,3440640,105,0.0001,3895.7183634400367,1040,-4.0499957336112855,349.6956787109375,0.21442538499832153,0.005202461,0.0580963134765625,0.2,0.0002305991439243371,0.670439600944519,,
9797,522.5888,354,301.0,3473408,106,0.0001,2341.399783730507,1050,-4.034798882342875,340.7973937988281,0.29336458444595337,0.0068462314,0.0512298583984375,0.2,-0.00013898632369091501,0.6688511967658997,,
9890,496.8924,354,301.0,3506176,107,0.0001,4287.191399431229,1060,-4.022816804796458,402.07122802734375,0.27887678146362305,0.005646221,0.0494720458984375,0.2,-0.00029442195027513663,0.6667858362197876,,
